M,gram_cond_number,W_SI_frobenius_norm,smallest_eigval,largest_eigval
200,17927.947314310142,85.30428,0.4024761413852786,7215.571058022115
300,187957.0009061899,163.90009,0.05766850698223529,10839.199619118617
400,1038345.8449880661,370.1463,0.014074296514961422,14613.987307440213
500,36367556.993568875,1198.7638,0.0005158549538458459,18760.38443440364
650,2.4418502783494244e+16,1955.3773,1e-12,24418.502783494245
800,3.0307465110809468e+16,1768.4093,1e-12,30307.465110809466
