M,ours_exact,ours_ci_lo,ours_ci_hi,knn_exact,knn_ci_lo,knn_ci_hi,gap_knn_minus_ours,mcnemar_p
200,0.965,0.9295285391333187,0.9829446753626429,1.0,0.9811539940816791,1.0,0.03500000000000003,0.015625
500,0.485,0.4166726249238525,0.5538927552536972,1.0,0.9811539940816791,1.0,0.515,1.9721522630525295e-31
800,0.205,0.15486094831106376,0.26625819518074556,1.0,0.9811539940816791,1.0,0.795,2.7369110631344083e-48
1200,0.09,0.05768697871453362,0.13776674613848952,1.0,0.9811539940816791,1.0,0.91,3.2626522339992623e-55
1600,0.06,0.0346518499012715,0.10193263530685089,0.995,0.9722256001302286,0.999116854010634,0.935,1.0195788231247695e-56
2000,0.035,0.017055324637357105,0.07047146086668134,0.995,0.9722256001302286,0.999116854010634,0.96,3.1861838222649046e-58
