M,noise_percent,readout,ridge_solve_seconds,digit_cell_accuracy,coincidence_recall,coincidence_accuracy,coincidence_correlation,feedback_overlap_fraction,feedback_target_probability,feedback_top1_accuracy
10,0.0,regression,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2.0,regression,0.010172605514526367,0.40864197530864194,0.8765432098765432,0.9257407407407406,0.7089223362485513,0.5986666666666667,0.999992857071053,1.0
10,2.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,5.0,regression,0.010172605514526367,0.11111111111111113,0.94320987654321,0.6429320987654321,0.3776056582681404,0.3766666666666667,0.6102084781800639,0.7
10,5.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,10.0,regression,0.010172605514526367,0.12839506172839507,0.9580246913580247,0.4780246913580247,0.2695188983467359,0.3500000000000001,0.33825617967650295,0.3
10,10.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,15.0,regression,0.010172605514526367,0.11111111111111113,1.0,0.35000000000000003,0.19245008972987468,0.3086666666666667,0.1,0.1
10,15.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,regression,0.010172605514526367,0.11111111111111113,1.0,0.35000000000000003,0.19245008972987465,0.30866666666666676,0.10000000000000002,0.1
10,20.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,30.0,regression,0.010172605514526367,0.11111111111111113,1.0,0.35000000000000003,0.19245008972987465,0.3086666666666667,0.10000000000000002,0.1
10,30.0,attention,0.010172605514526367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,50.0,regression,0.010172605514526367,0.11111111111111113,1.0,0.35000000000000003,0.19245008972987465,0.3086666666666667,0.1,0.1
10,50.0,attention,0.010172605514526367,0.11728395061728394,0.16728395061728396,0.8105555555555555,0.045281405801724114,0.20800000000000002,0.016126343092412045,0.0
10,75.0,regression,0.010172605514526367,0.11111111111111113,1.0,0.35000000000000003,0.19245008972987465,0.3086666666666667,0.1,0.1
10,75.0,attention,0.010172605514526367,0.0950617283950617,0.1564814814814815,0.8103395061728396,0.036537485915225994,0.2053333333333333,0.007535469267148652,0.0
10,100.0,regression,0.010172605514526367,0.11111111111111113,1.0,0.35000000000000003,0.19245008972987465,0.30866666666666676,0.10000000000000002,0.1
10,100.0,attention,0.010172605514526367,0.11358024691358024,0.1589506172839506,0.8064814814814815,0.033108830966821774,0.20800000000000002,0.04458766416523176,0.1
20,0.0,regression,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
