target,corrupt_frac,input_jaccard,engram_overlap
166,0.0,1.0,1.0
166,0.05,0.6589473684210526,0.64
166,0.1,0.47487844408427876,0.5133333333333333
166,0.15,0.36470588235294116,0.52
166,0.2,0.2831858407079646,0.4
166,0.25,0.2422825070159027,0.38
166,0.3,0.19402985074626866,0.28
166,0.4,0.1284465366509751,0.23333333333333334
166,0.5,0.09497206703910614,0.26666666666666666
166,0.6,0.0640346653827636,0.24
166,0.75,0.03609678698928996,0.22
166,0.9,0.009847198641765705,0.21333333333333335
166,1.0,0.0,0.17333333333333334
83,0.0,1.0,1.0
83,0.05,0.6553191489361702,0.5866666666666667
83,0.1,0.4799357945425361,0.54
83,0.15,0.36470588235294116,0.44
83,0.2,0.28869374313940727,0.3
83,0.25,0.22488038277511962,0.28
83,0.3,0.19269102990033224,0.30666666666666664
83,0.4,0.12432432432432433,0.23333333333333334
83,0.5,0.09598214285714286,0.18
83,0.6,0.06493506493506493,0.16666666666666666
83,0.75,0.027611044417767107,0.09333333333333334
83,0.9,0.011190233977619531,0.1
83,1.0,0.0,0.08666666666666667
11,0.0,1.0,1.0
11,0.05,0.6516129032258065,0.58
11,0.1,0.4782608695652174,0.44666666666666666
11,0.15,0.36387434554973824,0.36666666666666664
11,0.2,0.29488574537540807,0.41333333333333333
11,0.25,0.2300380228136882,0.34
11,0.3,0.18864774624373956,0.28
11,0.4,0.12075983717774763,0.32
11,0.5,0.09497206703910614,0.21333333333333335
11,0.6,0.0585956416464891,0.18
11,0.75,0.033797216699801194,0.2
11,0.9,0.011860386309725517,0.14666666666666667
11,1.0,0.0,0.17333333333333334
72,0.0,1.0,1.0
72,0.05,0.6545842217484008,0.6
72,0.1,0.47572815533980584,0.49333333333333335
72,0.15,0.36136662286465177,0.44
72,0.2,0.27839643652561247,0.36666666666666664
72,0.25,0.21435499515033948,0.32666666666666666
72,0.3,0.18592964824120603,0.29333333333333333
72,0.4,0.1319490957803081,0.28
72,0.5,0.083710407239819,0.19333333333333333
72,0.6,0.05813953488372093,0.18666666666666668
72,0.75,0.030714000797766254,0.15333333333333332
72,0.9,0.008837525492861998,0.12666666666666668
72,1.0,0.0,0.12
186,0.0,1.0,1.0
186,0.05,0.6553191489361702,0.5933333333333334
186,0.1,0.47572815533980584,0.5266666666666666
186,0.15,0.36136662286465177,0.42
186,0.2,0.27759197324414714,0.38666666666666666
186,0.25,0.23295454545454544,0.35333333333333333
186,0.3,0.19469759734879868,0.3333333333333333
186,0.4,0.1342685370741483,0.25333333333333335
186,0.5,0.09395973154362416,0.2866666666666667
186,0.6,0.057682985942801746,0.24
186,0.75,0.03225806451612903,0.17333333333333334
186,0.9,0.011860386309725517,0.12666666666666668
186,1.0,0.0,0.15333333333333332
64,0.0,1.0,1.0
64,0.05,0.660377358490566,0.64
64,0.1,0.47487844408427876,0.5266666666666666
64,0.15,0.36220472440944884,0.4666666666666667
64,0.2,0.2894736842105263,0.38
64,0.25,0.22857142857142856,0.35333333333333333
64,0.3,0.19,0.26666666666666666
64,0.4,0.1278600269179004,0.29333333333333333
64,0.5,0.09090909090909091,0.19333333333333333
64,0.6,0.059961315280464215,0.22
64,0.75,0.02683219863836604,0.18
64,0.9,0.012863913337846988,0.17333333333333334
64,1.0,0.0,0.14666666666666667
4,0.0,1.0,1.0
4,0.05,0.6560509554140127,0.6266666666666667
4,0.1,0.4782608695652174,0.44666666666666666
4,0.15,0.36387434554973824,0.4
4,0.2,0.2871287128712871,0.38666666666666666
4,0.25,0.236569274269557,0.35333333333333333
4,0.3,0.18864774624373956,0.3466666666666667
4,0.4,0.14058355437665782,0.26
4,0.5,0.09192825112107623,0.21333333333333335
4,0.6,0.061323032351521006,0.22
4,0.75,0.03494837172359015,0.2
4,0.9,0.010519172039362062,0.17333333333333334
4,1.0,0.0,0.15333333333333332
198,0.0,1.0,1.0
198,0.05,0.6582278481012658,0.6333333333333333
198,0.1,0.4790996784565916,0.5266666666666666
198,0.15,0.36470588235294116,0.4066666666666667
198,0.2,0.2847682119205298,0.32666666666666666
198,0.25,0.2314990512333966,0.32
198,0.3,0.18932443703085905,0.3
198,0.4,0.12491559756920999,0.24666666666666667
198,0.5,0.0898876404494382,0.2733333333333333
198,0.6,0.06041565973900435,0.17333333333333334
198,0.75,0.03187250996015936,0.16
198,0.9,0.009174311926605505,0.16
198,1.0,0.0,0.12666666666666668
131,0.0,1.0,1.0
131,0.05,0.6596638655462185,0.6133333333333333
131,0.1,0.47058823529411764,0.54
131,0.15,0.35286284953395475,0.4266666666666667
131,0.2,0.27919911012235815,0.4
131,0.25,0.22709923664122136,0.37333333333333335
131,0.3,0.19469759734879868,0.32666666666666666
131,0.4,0.13136729222520108,0.26666666666666666
131,0.5,0.09749303621169916,0.26
131,0.6,0.059961315280464215,0.21333333333333335
131,0.75,0.02722177742193755,0.17333333333333334
131,0.9,0.009510869565217392,0.14666666666666667
131,1.0,0.0,0.12666666666666668
61,0.0,1.0,1.0
61,0.05,0.6545842217484008,0.6266666666666667
61,0.1,0.47487844408427876,0.5266666666666666
61,0.15,0.36220472440944884,0.44666666666666666
61,0.2,0.28634361233480177,0.3466666666666667
61,0.25,0.22413793103448276,0.35333333333333333
61,0.3,0.1906744379683597,0.30666666666666664
61,0.4,0.12668463611859837,0.25333333333333335
61,0.5,0.08680947012401354,0.22666666666666666
61,0.6,0.06538461538461539,0.16
61,0.75,0.03341288782816229,0.1
61,0.9,0.009174311926605505,0.12
61,1.0,0.0,0.10666666666666667
101,0.0,1.0,1.0
101,0.05,0.6538461538461539,0.5733333333333334
101,0.1,0.474025974025974,0.49333333333333335
101,0.15,0.35286284953395475,0.38
101,0.2,0.27435610302351626,0.4066666666666667
101,0.25,0.23943661971830985,0.38666666666666666
101,0.3,0.18112889637742208,0.25333333333333335
101,0.4,0.13020134228187918,0.2866666666666667
101,0.5,0.08886389201349831,0.2733333333333333
101,0.6,0.06941120153183342,0.18666666666666668
101,0.75,0.033797216699801194,0.18666666666666668
101,0.9,0.010183299389002037,0.12
101,1.0,0.0,0.09333333333333334
168,0.0,1.0,1.0
168,0.05,0.6531049250535332,0.68
168,0.1,0.47317073170731705,0.5266666666666666
168,0.15,0.36220472440944884,0.4266666666666667
168,0.2,0.29411764705882354,0.4266666666666667
168,0.25,0.23295454545454544,0.35333333333333333
168,0.3,0.18796992481203006,0.32
168,0.4,0.1278600269179004,0.3333333333333333
168,0.5,0.088351153629713,0.24666666666666667
168,0.6,0.06851940584571155,0.2733333333333333
168,0.75,0.029940119760479042,0.19333333333333333
168,0.9,0.008500510030601836,0.18666666666666668
168,1.0,0.0,0.18
33,0.0,1.0,1.0
33,0.05,0.6553191489361702,0.6733333333333333
33,0.1,0.47145187601957583,0.5
33,0.15,0.35286284953395475,0.44
33,0.2,0.29180327868852457,0.4266666666666667
33,0.25,0.2314990512333966,0.35333333333333333
33,0.3,0.18661087866108786,0.29333333333333333
33,0.4,0.1377245508982036,0.2866666666666667
33,0.5,0.088351153629713,0.26666666666666666
33,0.6,0.06538461538461539,0.2
33,0.75,0.029165001997602878,0.17333333333333334
33,0.9,0.007825791085403199,0.18666666666666668
33,1.0,0.0,0.17333333333333334
49,0.0,1.0,1.0
49,0.05,0.6538461538461539,0.5666666666666667
49,0.1,0.46357615894039733,0.5133333333333333
49,0.15,0.36220472440944884,0.5466666666666666
49,0.2,0.27839643652561247,0.38
49,0.25,0.23512747875354106,0.31333333333333335
49,0.3,0.18661087866108786,0.32
49,0.4,0.1260957518543493,0.3
49,0.5,0.08783783783783784,0.2866666666666667
49,0.6,0.05722599418040737,0.26666666666666666
49,0.75,0.03187250996015936,0.22
49,0.9,0.013531799729364006,0.22
49,1.0,0.0,0.18
133,0.0,1.0,1.0
133,0.05,0.6553191489361702,0.56
133,0.1,0.47487844408427876,0.5066666666666667
133,0.15,0.36387434554973824,0.36
133,0.2,0.2979414951245937,0.34
133,0.25,0.22636103151862463,0.32666666666666666
133,0.3,0.18661087866108786,0.26666666666666666
133,0.4,0.12313937753721245,0.23333333333333334
133,0.5,0.09039865244244806,0.20666666666666667
133,0.6,0.06177606177606178,0.22
133,0.75,0.029165001997602878,0.15333333333333332
133,0.9,0.01152542372881356,0.14666666666666667
133,1.0,0.0,0.12666666666666668
1,0.0,1.0,1.0
1,0.05,0.6617954070981211,0.58
1,0.1,0.4765751211631664,0.5133333333333333
1,0.15,0.36387434554973824,0.4
1,0.2,0.2807991120976693,0.38
1,0.25,0.23076923076923078,0.38
1,0.3,0.1906744379683597,0.30666666666666664
1,0.4,0.14058355437665782,0.28
1,0.5,0.09039865244244806,0.32
1,0.6,0.06358381502890173,0.2
1,0.75,0.03571428571428571,0.19333333333333333
1,0.9,0.006473594548551959,0.16666666666666666
1,1.0,0.0,0.16
70,0.0,1.0,1.0
70,0.05,0.6545842217484008,0.6666666666666666
70,0.1,0.47487844408427876,0.54
70,0.15,0.3605263157894737,0.42
70,0.2,0.2894736842105263,0.4066666666666667
70,0.25,0.2233940556088207,0.32666666666666666
70,0.3,0.18932443703085905,0.36
70,0.4,0.13136729222520108,0.29333333333333333
70,0.5,0.0898876404494382,0.22666666666666666
70,0.6,0.059961315280464215,0.20666666666666667
70,0.75,0.029940119760479042,0.2
70,0.9,0.009510869565217392,0.18666666666666668
70,1.0,0.0,0.16
178,0.0,1.0,1.0
178,0.05,0.6538461538461539,0.6
178,0.1,0.474025974025974,0.4666666666666667
178,0.15,0.36304062909567497,0.41333333333333333
178,0.2,0.2910284463894967,0.32666666666666666
178,0.25,0.2358490566037736,0.32
178,0.3,0.18864774624373956,0.30666666666666664
178,0.4,0.1260957518543493,0.25333333333333335
178,0.5,0.0898876404494382,0.2
178,0.6,0.059506531204644414,0.19333333333333333
178,0.75,0.033797216699801194,0.16
178,0.9,0.012195121951219513,0.12
178,1.0,0.0,0.14
134,0.0,1.0,1.0
134,0.05,0.6560509554140127,0.6266666666666667
134,0.1,0.46885245901639344,0.52
134,0.15,0.35543766578249336,0.42
134,0.2,0.2823920265780731,0.42
134,0.25,0.2233940556088207,0.32666666666666666
134,0.3,0.19536423841059603,0.32
134,0.4,0.12254570074475288,0.26666666666666666
134,0.5,0.09243697478991597,0.2866666666666667
134,0.6,0.06538461538461539,0.24666666666666667
134,0.75,0.03187250996015936,0.20666666666666667
134,0.9,0.012529630883846935,0.22
134,1.0,0.0,0.18666666666666668
196,0.0,1.0,1.0
196,0.05,0.6560509554140127,0.6
196,0.1,0.4723127035830619,0.5
