clue_fraction,target,coinc_acc,coinc_sens,coinc_spec,unk_acc_initial_guess,unk_acc_dynamics_coinc,unk_acc_numpy_conflict_mask,exact_initial,exact_dynamics,exact_numpy
0.1,106,0.7410493827160494,0.21296296296296297,0.7997256515775034,0.1643835616438356,0.0958904109589041,0.1232876712328767,0,0,0
0.1,84,0.7580246913580246,0.22839506172839505,0.8168724279835391,0.0958904109589041,0.136986301369863,0.1232876712328767,0,0,0
0.1,172,0.716358024691358,0.25,0.7681755829903978,0.1232876712328767,0.1095890410958904,0.0684931506849315,0,0,0
0.1,75,0.7200617283950618,0.25617283950617287,0.7716049382716049,0.0958904109589041,0.1095890410958904,0.0958904109589041,0,0,0
0.1,6,0.7820987654320988,0.1882716049382716,0.848079561042524,0.1506849315068493,0.1780821917808219,0.1917808219178082,0,0,0
0.1,28,0.8179012345679012,0.5061728395061729,0.8525377229080933,0.1643835616438356,0.2876712328767123,1.0,0,0,1
0.1,51,0.7395061728395061,0.2191358024691358,0.7973251028806584,0.1095890410958904,0.0958904109589041,0.0958904109589041,0,0,0
0.1,49,0.7,0.2777777777777778,0.7469135802469136,0.1095890410958904,0.1506849315068493,0.1506849315068493,0,0,0
0.1,79,0.7472222222222222,0.18518518518518517,0.8096707818930041,0.0684931506849315,0.0958904109589041,0.1506849315068493,0,0,0
0.1,169,0.7354938271604938,0.2839506172839506,0.7856652949245542,0.1643835616438356,0.0684931506849315,0.0684931506849315,0,0,0
0.1,14,0.7466049382716049,0.20679012345679013,0.8065843621399177,0.1232876712328767,0.0958904109589041,0.0684931506849315,0,0,0
0.1,17,0.7444444444444445,0.23765432098765432,0.8007544581618655,0.0958904109589041,0.1506849315068493,0.1506849315068493,0,0,0
0.1,181,0.7262345679012345,0.22530864197530864,0.7818930041152263,0.1232876712328767,0.0684931506849315,0.1506849315068493,0,0,0
0.1,111,0.7061728395061728,0.2623456790123457,0.7554869684499315,0.1095890410958904,0.136986301369863,0.0684931506849315,0,0,0
0.1,95,0.7046296296296296,0.25308641975308643,0.75480109739369,0.0958904109589041,0.1232876712328767,0.1232876712328767,0,0,0
0.1,112,0.7509259259259259,0.3117283950617284,0.7997256515775034,0.136986301369863,0.1506849315068493,0.0821917808219178,0,0,0
0.1,151,0.7364197530864197,0.3055555555555556,0.7842935528120714,0.1095890410958904,0.1506849315068493,0.0684931506849315,0,0,0
0.1,19,0.7512345679012346,0.23148148148148148,0.8089849108367627,0.1506849315068493,0.1232876712328767,0.1095890410958904,0,0,0
0.1,129,0.7361111111111112,0.2777777777777778,0.7870370370370371,0.1643835616438356,0.1095890410958904,0.136986301369863,0,0,0
0.1,92,0.7342592592592593,0.2623456790123457,0.7866941015089163,0.136986301369863,0.1095890410958904,0.136986301369863,0,0,0
0.1,170,0.7450617283950617,0.25925925925925924,0.799039780521262,0.0958904109589041,0.0684931506849315,0.1095890410958904,0,0,0
0.1,110,0.745679012345679,0.25308641975308643,0.8004115226337448,0.1232876712328767,0.1095890410958904,0.0958904109589041,0,0,0
