sigma,target,initial_overlap,cleaned_overlap,iters,cell_acc,exact,recon_corr_initial,recon_corr_cleaned,recon_mse_cleaned
0.0,24,1.0,1.0,1,1.0,1,0.9999999999996522,0.9999999999996522,7.425936e-14
0.0,39,1.0,1.0,1,1.0,1,0.9999999999996565,0.9999999999996565,2.374174e-13
0.0,133,1.0,1.0,1,1.0,1,0.99999999999941,0.99999999999941,5.667647e-14
0.0,86,1.0,1.0,1,1.0,1,0.9999999999996984,0.9999999999996984,9.6564995e-14
0.1,73,0.96,1.0,2,1.0,1,0.9925075210377687,0.9999999999998277,1.03149965e-13
0.1,84,0.98,1.0,2,1.0,1,0.995655066362532,0.9999999999997679,1.7962437e-13
0.1,168,0.9933333333333333,1.0,2,1.0,1,0.997633779557688,0.9999999999997097,1.1447036e-13
0.1,136,0.98,1.0,2,1.0,1,0.9969818702394896,0.9999999999998208,1.6626517e-13
0.1,134,0.96,1.0,2,1.0,1,0.9904827850861013,0.9999999999996783,1.0724344e-13
0.1,18,0.9866666666666667,1.0,2,1.0,1,0.9976032494396396,0.9999999999997524,1.5230544e-13
0.1,113,0.9666666666666667,1.0,2,1.0,1,0.9883432854509671,0.999999999999749,1.4736523e-13
0.1,62,0.9866666666666667,1.0,2,1.0,1,0.9965427046027351,0.9999999999997672,1.225732e-13
0.1,17,0.9933333333333333,1.0,2,1.0,1,0.9977119344119583,0.9999999999996478,1.2006485e-13
0.1,140,0.9733333333333334,1.0,2,1.0,1,0.989836555166832,0.9999999999997126,1.1790062e-13
0.1,2,0.96,1.0,2,1.0,1,0.9932440654395316,0.999999999999697,1.4427833e-13
0.1,57,0.9533333333333334,1.0,2,1.0,1,0.9748646399072894,0.9999999999993916,1.1637734e-13
0.1,27,0.96,1.0,2,1.0,1,0.988502006979174,0.9999999999997238,1.3656265e-13
0.1,81,0.9733333333333334,1.0,2,1.0,1,0.9936682488866219,0.9999999999997923,8.229387e-14
0.1,59,0.9533333333333334,1.0,2,1.0,1,0.9838641923364042,0.9999999999995207,2.1012723e-13
0.1,39,0.9733333333333334,1.0,2,1.0,1,0.9949511265717839,0.9999999999996565,2.374174e-13
0.1,132,0.98,1.0,2,1.0,1,0.993465376351627,0.9999999999997027,8.596119e-14
0.1,164,0.9666666666666667,1.0,2,1.0,1,0.9767742751754471,0.999999999998828,1.2541572e-13
0.1,127,0.98,1.0,2,1.0,1,0.9899370576904364,0.999999999999577,8.332028e-14
0.1,125,0.98,1.0,2,1.0,1,0.9900735843186437,0.9999999999995418,7.540475e-14
0.1,177,0.9533333333333334,1.0,2,1.0,1,0.9900481179846693,0.9999999999998018,1.01896187e-13
0.1,192,0.98,1.0,2,1.0,1,0.9942843899478366,0.9999999999995847,1.3587322e-13
0.1,184,0.9933333333333333,1.0,2,1.0,1,0.9977371716147233,0.99999999999967,8.8231824e-14
0.1,59,0.9666666666666667,1.0,2,1.0,1,0.9940177505576038,0.9999999999995207,2.1012723e-13
