M,ridge_lambda,zero_noise_overlap,sigma_0.1_exact
2500,1.0,0.5467173333333333,0.56
2500,10.0,0.4981626666666667,0.62
2500,50.0,0.4408026666666667,0.52
2500,100.0,0.414808,0.32
3000,1.0,0.5127333333333334,0.5
3000,10.0,0.4745244444444444,0.64
3000,50.0,0.4278088888888889,0.4
3000,100.0,0.4051711111111111,0.18
4000,1.0,0.4708716666666667,0.28
4000,10.0,0.4440766666666667,0.38
4000,50.0,0.4102533333333333,0.22
4000,100.0,0.3936766666666667,0.16
