M,sigma,mean_effective_flip_frac,outer_exact,outer_ci_lo,outer_ci_hi,cov_exact,cov_ci_lo,cov_ci_hi,pinv_exact,pinv_ci_lo,pinv_ci_hi,ours_exact,ours_ci_lo,ours_ci_hi
100,0.3,0.06674744897959183,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.915,0.8681031145576462,0.9462547005301477,1.0,0.9811539940816791,1.0
200,0.3,0.06778698979591836,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.995,0.9722256001302286,0.999116854010634
400,0.3,0.06683035714285714,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.94,0.8980673646931491,0.9653481500987285
800,0.3,0.0660140306122449,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.575,0.5057080512046821,0.6414650479075696
