clue_fraction,n_known,target,iterations,top1_initial,top1_final,unknown_cell_acc_initial,unknown_cell_acc_final,exact_initial,exact_final
0.05,4,1459,12,0,0,0.11688311688311688,0.11688311688311688,0,0
0.05,4,1580,8,0,0,0.14285714285714285,0.16883116883116883,0,0
0.05,4,834,8,0,0,0.1038961038961039,0.07792207792207792,0,0
0.05,4,1486,8,0,0,0.15584415584415584,0.03896103896103896,0,0
0.05,4,257,8,0,0,0.1038961038961039,0.12987012987012986,0,0
0.05,4,1008,8,0,0,0.06493506493506493,0.09090909090909091,0,0
0.05,4,254,8,0,0,0.1038961038961039,0.12987012987012986,0,0
0.05,4,784,20,0,0,0.12987012987012986,0.16883116883116883,0,0
0.05,4,13,12,0,0,0.12987012987012986,0.12987012987012986,0,0
0.05,4,619,8,0,0,0.07792207792207792,0.07792207792207792,0,0
0.05,4,1893,8,0,0,0.1038961038961039,0.1038961038961039,0,0
0.05,4,1018,8,0,0,0.12987012987012986,0.11688311688311688,0,0
0.05,4,612,8,0,0,0.12987012987012986,0.03896103896103896,0,0
0.05,4,1741,8,0,0,0.14285714285714285,0.09090909090909091,0,0
0.05,4,542,8,0,0,0.1038961038961039,0.09090909090909091,0,0
0.05,4,219,20,0,0,0.1038961038961039,0.09090909090909091,0,0
0.05,4,1072,8,0,0,0.11688311688311688,0.14285714285714285,0,0
0.05,4,659,8,0,0,0.12987012987012986,0.03896103896103896,0,0
0.05,4,194,4,0,0,0.07792207792207792,0.23376623376623376,0,0
0.05,4,700,8,0,0,0.1038961038961039,0.11688311688311688,0,0
0.05,4,771,8,0,0,0.14285714285714285,0.05194805194805195,0,0
0.05,4,1513,12,0,0,0.14285714285714285,0.07792207792207792,0,0
0.05,4,1884,8,0,0,0.09090909090909091,0.03896103896103896,0,0
0.05,4,1550,8,0,0,0.1038961038961039,0.07792207792207792,0,0
0.05,4,798,7,0,0,0.07792207792207792,0.1038961038961039,0,0
0.05,4,273,8,0,0,0.12987012987012986,0.11688311688311688,0,0
0.05,4,1472,6,0,0,0.09090909090909091,0.1038961038961039,0,0
0.05,4,554,5,0,0,0.12987012987012986,0.11688311688311688,0,0
0.05,4,1944,8,0,0,0.14285714285714285,0.14285714285714285,0,0
0.05,4,1877,10,0,0,0.07792207792207792,0.15584415584415584,0,0
0.05,4,274,8,0,0,0.1038961038961039,0.14285714285714285,0,0
0.05,4,1684,8,0,0,0.06493506493506493,0.11688311688311688,0,0
0.05,4,1107,4,0,0,0.07792207792207792,0.05194805194805195,0,0
0.05,4,698,8,0,0,0.09090909090909091,0.15584415584415584,0,0
0.05,4,910,8,0,0,0.12987012987012986,0.15584415584415584,0,0
0.05,4,1890,8,0,0,0.1038961038961039,0.16883116883116883,0,0
0.05,4,362,8,0,0,0.09090909090909091,0.09090909090909091,0,0
0.05,4,1746,20,0,0,0.09090909090909091,0.09090909090909091,0,0
0.05,4,1715,8,0,0,0.06493506493506493,0.1038961038961039,0,0
0.05,4,1916,8,0,0,0.11688311688311688,0.15584415584415584,0,0
0.05,4,1722,8,0,0,0.11688311688311688,0.1038961038961039,0,0
0.05,4,1473,8,0,0,0.1038961038961039,0.07792207792207792,0,0
0.05,4,496,8,0,0,0.1038961038961039,0.14285714285714285,0,0
0.05,4,1216,20,0,0,0.14285714285714285,0.06493506493506493,0,0
0.05,4,1937,8,0,0,0.11688311688311688,0.03896103896103896,0,0
0.05,4,1128,3,0,0,0.1038961038961039,0.09090909090909091,0,0
0.05,4,373,20,0,0,0.07792207792207792,0.11688311688311688,0,0
0.05,4,1273,20,0,0,0.14285714285714285,0.12987012987012986,0,0
0.05,4,213,8,0,0,0.1038961038961039,0.14285714285714285,0,0
0.05,4,400,20,0,0,0.11688311688311688,0.1038961038961039,0,0
0.05,4,1882,8,0,0,0.1038961038961039,0.12987012987012986,0,0
0.05,4,1228,8,0,0,0.12987012987012986,0.16883116883116883,0,0
0.05,4,870,8,0,0,0.09090909090909091,0.11688311688311688,0,0
0.05,4,995,9,0,0,0.1038961038961039,0.07792207792207792,0,0
0.05,4,357,8,0,0,0.11688311688311688,0.12987012987012986,0,0
0.05,4,482,13,0,0,0.12987012987012986,0.05194805194805195,0,0
0.05,4,1747,8,0,0,0.05194805194805195,0.07792207792207792,0,0
0.05,4,1763,8,0,0,0.1038961038961039,0.03896103896103896,0,0
0.05,4,1029,6,0,0,0.1038961038961039,0.07792207792207792,0,0
0.05,4,317,8,0,0,0.1038961038961039,0.14285714285714285,0,0
0.05,4,705,4,0,0,0.15584415584415584,0.1038961038961039,0,0
0.05,4,1771,8,0,0,0.07792207792207792,0.05194805194805195,0,0
0.05,4,875,5,0,0,0.07792207792207792,0.11688311688311688,0,0
0.05,4,529,7,0,0,0.07792207792207792,0.06493506493506493,0,0
0.05,4,1708,8,0,0,0.1038961038961039,0.16883116883116883,0,0
0.05,4,1752,9,0,0,0.07792207792207792,0.15584415584415584,0,0
0.05,4,1553,5,0,0,0.11688311688311688,0.1038961038961039,0,0
0.05,4,316,8,0,0,0.11688311688311688,0.22077922077922077,0,0
0.05,4,826,10,0,0,0.1038961038961039,0.1038961038961039,0,0
0.05,4,47,8,0,0,0.12987012987012986,0.1038961038961039,0,0
0.05,4,943,7,0,0,0.1038961038961039,0.14285714285714285,0,0
0.05,4,1122,15,0,0,0.12987012987012986,0.1038961038961039,0,0
0.05,4,1959,12,0,0,0.12987012987012986,0.09090909090909091,0,0
0.05,4,592,20,0,0,0.12987012987012986,0.14285714285714285,0,0
0.05,4,647,8,0,0,0.09090909090909091,0.19480519480519481,0,0
0.05,4,1996,6,0,0,0.1038961038961039,0.19480519480519481,0,0
0.05,4,234,7,0,0,0.09090909090909091,0.14285714285714285,0,0
0.05,4,1989,8,0,0,0.11688311688311688,0.05194805194805195,0,0
0.05,4,183,5,0,0,0.1038961038961039,0.1038961038961039,0,0
0.05,4,1043,5,0,0,0.1038961038961039,0.1038961038961039,0,0
0.05,4,160,8,0,0,0.11688311688311688,0.11688311688311688,0,0
0.05,4,1545,6,0,0,0.11688311688311688,0.14285714285714285,0,0
0.05,4,661,11,0,0,0.07792207792207792,0.06493506493506493,0,0
0.05,4,699,20,0,0,0.06493506493506493,0.09090909090909091,0,0
0.05,4,1649,20,0,0,0.15584415584415584,0.06493506493506493,0,0
0.05,4,1257,10,0,0,0.11688311688311688,0.09090909090909091,0,0
0.05,4,386,6,0,0,0.1038961038961039,0.11688311688311688,0,0
0.05,4,1918,8,0,0,0.09090909090909091,0.14285714285714285,0,0
0.05,4,1626,4,0,0,0.11688311688311688,0.19480519480519481,0,0
0.05,4,343,8,0,0,0.09090909090909091,0.09090909090909091,0,0
0.05,4,1814,17,0,0,0.1038961038961039,0.16883116883116883,0,0
0.05,4,140,4,0,0,0.1038961038961039,0.1038961038961039,0,0
0.05,4,1822,6,0,0,0.09090909090909091,0.06493506493506493,0,0
0.05,4,383,6,0,0,0.07792207792207792,0.12987012987012986,0,0
0.05,4,1150,7,0,0,0.11688311688311688,0.07792207792207792,0,0
0.05,4,1194,8,0,0,0.07792207792207792,0.05194805194805195,0,0
0.05,4,1446,8,0,0,0.11688311688311688,0.1038961038961039,0,0
0.05,4,676,7,0,0,0.11688311688311688,0.06493506493506493,0,0
0.05,4,175,8,0,0,0.1038961038961039,0.1038961038961039,0,0
0.05,4,1664,8,0,0,0.1038961038961039,0.1038961038961039,0,0
0.1,8,1546,11,0,0,0.0547945205479452,0.1917808219178082,0,0
0.1,8,1257,7,0,0,0.1643835616438356,0.1232876712328767,0,0
0.1,8,844,11,0,0,0.0958904109589041,0.0958904109589041,0,0
0.1,8,140,4,0,0,0.1232876712328767,0.0547945205479452,0,0
0.1,8,184,19,0,0,0.0958904109589041,0.136986301369863,0,0
0.1,8,868,5,0,0,0.0821917808219178,0.1917808219178082,0,0
0.1,8,1124,20,0,0,0.1095890410958904,0.0821917808219178,0,0
0.1,8,546,11,0,0,0.0821917808219178,0.1095890410958904,0,0
0.1,8,826,10,0,0,0.0958904109589041,0.1232876712328767,0,0
0.1,8,1828,12,0,0,0.0684931506849315,0.1095890410958904,0,0
0.1,8,1246,9,0,0,0.1232876712328767,0.136986301369863,0,0
0.1,8,20,6,0,0,0.1095890410958904,0.0547945205479452,0,0
0.1,8,1356,5,0,0,0.1095890410958904,0.0273972602739726,0,0
0.1,8,374,10,0,0,0.1095890410958904,0.0684931506849315,0,0
0.1,8,1517,9,0,0,0.0821917808219178,0.1643835616438356,0,0
0.1,8,497,7,0,0,0.0958904109589041,0.0547945205479452,0,0
0.1,8,1710,9,0,0,0.136986301369863,0.0821917808219178,0,0
0.1,8,845,5,0,0,0.0821917808219178,0.0684931506849315,0,0
0.1,8,1843,9,0,0,0.0821917808219178,0.1232876712328767,0,0
0.1,8,212,7,0,0,0.0958904109589041,0.1095890410958904,0,0
0.1,8,1802,8,0,0,0.1095890410958904,0.1643835616438356,0,0
0.1,8,1433,7,0,0,0.1232876712328767,0.1643835616438356,0,0
0.1,8,1223,20,0,0,0.0958904109589041,0.0821917808219178,0,0
0.1,8,1513,5,0,0,0.136986301369863,0.1232876712328767,0,0
0.1,8,445,3,0,0,0.0410958904109589,0.1095890410958904,0,0
0.1,8,438,6,0,0,0.136986301369863,0.1506849315068493,0,0
0.1,8,554,11,0,0,0.1232876712328767,0.0821917808219178,0,0
0.1,8,367,18,0,0,0.1643835616438356,0.0547945205479452,0,0
0.1,8,492,16,0,0,0.0821917808219178,0.1643835616438356,0,0
0.1,8,574,17,0,0,0.136986301369863,0.1506849315068493,0,0
0.1,8,1891,20,0,0,0.1095890410958904,0.0684931506849315,0,0
0.1,8,107,20,0,0,0.136986301369863,0.1095890410958904,0,0
0.1,8,408,9,0,0,0.0684931506849315,0.0547945205479452,0,0
0.1,8,1178,20,0,0,0.1095890410958904,0.136986301369863,0,0
0.1,8,1283,4,0,0,0.1232876712328767,0.0684931506849315,0,0
0.1,8,1408,12,0,0,0.0958904109589041,0.0684931506849315,0,0
0.1,8,132,12,0,0,0.136986301369863,0.0684931506849315,0,0
0.1,8,1870,7,0,0,0.0958904109589041,0.1643835616438356,0,0
0.1,8,67,4,0,0,0.0547945205479452,0.0684931506849315,0,0
0.1,8,1624,9,0,0,0.0821917808219178,0.1780821917808219,0,0
0.1,8,273,10,0,0,0.136986301369863,0.1232876712328767,0,0
0.1,8,346,7,0,0,0.1506849315068493,0.0821917808219178,0,0
0.1,8,98,3,0,0,0.1095890410958904,0.1095890410958904,0,0
0.1,8,1834,8,0,0,0.1095890410958904,0.0821917808219178,0,0
0.1,8,711,14,0,0,0.1232876712328767,0.1643835616438356,0,0
0.1,8,1130,5,0,0,0.1095890410958904,0.0684931506849315,0,0
0.1,8,1764,8,0,0,0.1232876712328767,0.0821917808219178,0,0
0.1,8,309,7,0,0,0.136986301369863,0.136986301369863,0,0
0.1,8,22,20,0,0,0.0547945205479452,0.0684931506849315,0,0
0.1,8,1512,12,0,0,0.1506849315068493,0.1506849315068493,0,0
0.1,8,1615,14,0,0,0.1095890410958904,0.2602739726027397,0,0
0.1,8,1224,17,0,0,0.1232876712328767,0.0958904109589041,0,0
0.1,8,808,12,0,0,0.1095890410958904,0.1643835616438356,0,0
0.1,8,91,5,0,0,0.0684931506849315,0.1232876712328767,0,0
0.1,8,1209,10,0,0,0.0684931506849315,0.0958904109589041,0,0
0.1,8,77,5,0,0,0.1643835616438356,0.1232876712328767,0,0
0.1,8,1704,5,0,0,0.1095890410958904,0.0958904109589041,0,0
0.1,8,753,6,0,0,0.1232876712328767,0.136986301369863,0,0
0.1,8,1341,7,0,0,0.1232876712328767,0.0684931506849315,0,0
0.1,8,1133,8,0,0,0.0547945205479452,0.1506849315068493,0,0
0.1,8,894,8,0,0,0.136986301369863,0.0958904109589041,0,0
0.1,8,878,5,0,0,0.0821917808219178,0.0958904109589041,0,0
0.1,8,1892,6,0,0,0.1506849315068493,0.0684931506849315,0,0
0.1,8,227,18,0,0,0.1232876712328767,0.0958904109589041,0,0
0.1,8,1446,6,0,0,0.1232876712328767,0.0958904109589041,0,0
0.1,8,825,20,0,0,0.0684931506849315,0.0547945205479452,0,0
0.1,8,1525,11,0,0,0.1095890410958904,0.2328767123287671,0,0
0.1,8,1782,14,0,0,0.0958904109589041,0.1917808219178082,0,0
0.1,8,167,18,0,0,0.1232876712328767,0.1232876712328767,0,0
0.1,8,645,5,0,0,0.1095890410958904,0.0821917808219178,0,0
0.1,8,1643,20,0,0,0.0821917808219178,0.0821917808219178,0,0
0.1,8,1195,4,0,0,0.0958904109589041,0.0958904109589041,0,0
0.1,8,1293,13,0,0,0.0684931506849315,0.0821917808219178,0,0
0.1,8,1326,3,0,0,0.1232876712328767,0.0958904109589041,0,0
0.1,8,1901,6,0,0,0.0958904109589041,0.0958904109589041,0,0
0.1,8,604,6,0,0,0.1095890410958904,0.0821917808219178,0,0
0.1,8,1123,12,0,0,0.1095890410958904,0.1506849315068493,0,0
0.1,8,1127,19,0,0,0.1780821917808219,0.0684931506849315,0,0
0.1,8,786,17,0,0,0.136986301369863,0.0273972602739726,0,0
0.1,8,1172,7,0,0,0.136986301369863,0.0958904109589041,0,0
0.1,8,1711,15,0,0,0.1095890410958904,0.1506849315068493,0,0
0.1,8,1812,8,0,0,0.0958904109589041,0.0684931506849315,0,0
0.1,8,848,20,0,0,0.136986301369863,0.0821917808219178,0,0
0.1,8,414,20,0,0,0.0684931506849315,0.1232876712328767,0,0
0.1,8,1553,11,0,0,0.1232876712328767,0.0684931506849315,0,0
0.1,8,1026,10,0,0,0.1095890410958904,0.1506849315068493,0,0
0.1,8,1753,20,0,0,0.136986301369863,0.1506849315068493,0,0
0.1,8,169,11,0,0,0.1232876712328767,0.1643835616438356,0,0
0.1,8,62,14,0,0,0.1506849315068493,0.0547945205479452,0,0
0.1,8,1287,8,0,0,0.0958904109589041,0.136986301369863,0,0
0.1,8,809,4,0,0,0.0958904109589041,0.1232876712328767,0,0
0.1,8,185,5,0,0,0.0821917808219178,0.1232876712328767,0,0
0.1,8,1137,7,0,0,0.0958904109589041,0.1232876712328767,0,0
0.1,8,1383,20,0,0,0.0958904109589041,0.1095890410958904,0,0
0.1,8,235,20,0,0,0.1232876712328767,0.1095890410958904,0,0
0.1,8,1610,3,0,0,0.1643835616438356,0.2054794520547945,0,0
0.1,8,1083,6,0,0,0.0821917808219178,0.0958904109589041,0,0
0.1,8,236,9,0,0,0.1095890410958904,0.1506849315068493,0,0
0.1,8,677,4,0,0,0.1643835616438356,0.0684931506849315,0,0
0.1,8,649,16,0,0,0.1232876712328767,0.0684931506849315,0,0
0.15,12,1774,12,0,0,0.10144927536231885,0.11594202898550725,0,0
0.15,12,1480,7,0,0,0.07246376811594203,0.10144927536231885,0,0
0.15,12,760,10,0,0,0.10144927536231885,0.14492753623188406,0,0
0.15,12,282,20,0,0,0.17391304347826086,0.15942028985507245,0,0
0.15,12,1080,5,0,0,0.14492753623188406,0.11594202898550725,0,0
0.15,12,484,7,0,0,0.13043478260869565,0.057971014492753624,0,0
0.15,12,407,8,0,0,0.14492753623188406,0.08695652173913043,0,0
0.15,12,84,5,0,0,0.10144927536231885,0.07246376811594203,0,0
0.15,12,686,12,0,0,0.14492753623188406,0.14492753623188406,0,0
0.15,12,1272,5,0,0,0.14492753623188406,0.13043478260869565,0,0
0.15,12,1861,6,0,0,0.13043478260869565,0.08695652173913043,0,0
0.15,12,842,20,0,0,0.17391304347826086,0.10144927536231885,0,0
0.15,12,916,4,0,0,0.11594202898550725,0.11594202898550725,0,0
0.15,12,1602,15,0,0,0.17391304347826086,0.08695652173913043,0,0
0.15,12,1448,15,0,0,0.13043478260869565,0.15942028985507245,0,0
0.15,12,1175,4,0,0,0.10144927536231885,0.14492753623188406,0,0
0.15,12,288,7,0,0,0.11594202898550725,0.15942028985507245,0,0
0.15,12,1058,5,0,0,0.13043478260869565,0.057971014492753624,0,0
0.15,12,1522,20,0,0,0.08695652173913043,0.11594202898550725,0,0
