M,sigma,sdm_dead_query_frac,sdm_activation_rate,outer_exact,outer_ci_lo,outer_ci_hi,cov_exact,cov_ci_lo,cov_ci_hi,pinv_exact,pinv_ci_lo,pinv_ci_hi,modern_exact,modern_ci_lo,modern_ci_hi,sdm_exact,sdm_ci_lo,sdm_ci_hi,dam_exact,dam_ci_lo,dam_ci_hi,ours_exact,ours_ci_lo,ours_ci_hi,vectorhash_oneshot_exact,vectorhash_oneshot_ci_lo,vectorhash_oneshot_ci_hi,vectorhash_exact,vectorhash_ci_lo,vectorhash_ci_hi
50,0.0,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.1,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.2,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.3,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.4,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,0.0,0.0,0.0188460059183208,1.0,0.9811539940816792,1.0,1.0,0.9811539940816792,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.5,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,0.99,0.9642775148038204,0.9972533993962251,0.995,0.9722256001302286,0.999116854010634,0.0,0.0,0.0188460059183208,0.995,0.9722256001302286,0.999116854010634,1.0,0.9811539940816792,1.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.6,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,0.975,0.9428208558483828,0.9892754385292124,0.965,0.9295285391333188,0.9829446753626429,0.0,0.0,0.0188460059183208,0.995,0.9722256001302286,0.999116854010634,0.995,0.9722256001302286,0.999116854010634,0.995,0.9722256001302286,0.999116854010634,0.995,0.9722256001302286,0.999116854010634
50,0.8,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,0.9,0.8505931364369146,0.9343300588284288,0.755,0.6909563161285153,0.809432220853141,0.0,0.0,0.0188460059183208,0.99,0.9642775148038204,0.9972533993962251,0.915,0.8681031145576462,0.9462547005301476,0.945,0.9042120755340645,0.9690149791986299,0.945,0.9042120755340645,0.9690149791986299
50,1.0,0.0,0.01854,0.0,0.0,0.0188460059183208,0.0,0.0,0.0188460059183208,0.745,0.6803694869280502,0.8003959701719726,0.54,0.4708216309361468,0.6076706885903875,0.0,0.0,0.0188460059183208,0.98,0.9497121344948062,0.9921956998236058,0.715,0.648845269187895,0.773050948267227,0.805,0.744558352034882,0.8539455843549424,0.805,0.744558352034882,0.8539455843549424
