seed_idx,ref_seed,proj_seed,accuracy,n_errors,top_attractor_class,top_attractor_share,top2_attractor_classes,top2_attractor_share
0,83,82,0.7877777777777778,191,9,0.16753926701570682,"(9, 1)",0.32460732984293195
1,1083,1082,0.7855555555555556,193,9,0.16062176165803108,"(9, 1)",0.3160621761658031
2,2083,2082,0.7933333333333333,186,9,0.1827956989247312,"(9, 8)",0.3548387096774194
3,3083,3082,0.7877777777777778,191,9,0.18324607329842932,"(9, 1)",0.3403141361256545
4,4083,4082,0.7844444444444445,194,9,0.18041237113402062,"(9, 1)",0.3247422680412371
5,5083,5082,0.7877777777777778,191,4,0.17801047120418848,"(9, 4)",0.35602094240837695
