dataset,sigma,target,cleaned_overlap,exact,knn_exact
MNIST,0.0,156,1.0,1,1
MNIST,0.0,79,1.0,1,1
MNIST,0.0,34,1.0,1,1
MNIST,0.0,87,1.0,1,1
MNIST,0.0,127,1.0,1,1
MNIST,0.0,31,1.0,1,1
MNIST,0.0,14,1.0,1,1
MNIST,0.0,168,1.0,1,1
MNIST,0.0,133,1.0,1,1
MNIST,0.0,25,1.0,1,1
MNIST,0.0,194,1.0,1,1
MNIST,0.0,1,1.0,1,1
MNIST,0.0,129,1.0,1,1
MNIST,0.0,64,1.0,1,1
MNIST,0.0,57,1.0,1,1
MNIST,0.0,89,1.0,1,1
MNIST,0.0,130,1.0,1,1
MNIST,0.0,137,1.0,1,1
MNIST,0.0,81,1.0,1,1
MNIST,0.0,8,1.0,1,1
MNIST,0.0,24,1.0,1,1
MNIST,0.0,76,1.0,1,1
MNIST,0.0,87,1.0,1,1
MNIST,0.0,37,1.0,1,1
MNIST,0.0,1,1.0,1,1
MNIST,0.0,83,1.0,1,1
MNIST,0.0,5,1.0,1,1
MNIST,0.0,88,1.0,1,1
MNIST,0.0,129,1.0,1,1
MNIST,0.0,102,1.0,1,1
MNIST,0.0,15,1.0,1,1
MNIST,0.0,96,1.0,1,1
MNIST,0.0,177,1.0,1,1
MNIST,0.0,114,1.0,1,1
MNIST,0.0,104,1.0,1,1
MNIST,0.0,192,1.0,1,1
MNIST,0.0,52,1.0,1,1
MNIST,0.0,156,1.0,1,1
MNIST,0.0,121,1.0,1,1
MNIST,0.0,199,1.0,1,1
MNIST,0.0,93,1.0,1,1
MNIST,0.0,174,1.0,1,1
MNIST,0.0,3,1.0,1,1
MNIST,0.0,177,1.0,1,1
MNIST,0.0,166,1.0,1,1
MNIST,0.0,68,1.0,1,1
MNIST,0.0,183,1.0,1,1
MNIST,0.0,93,1.0,1,1
MNIST,0.0,16,1.0,1,1
MNIST,0.0,7,1.0,1,1
MNIST,0.0,100,1.0,1,1
MNIST,0.0,78,1.0,1,1
MNIST,0.0,26,1.0,1,1
MNIST,0.0,186,1.0,1,1
MNIST,0.0,147,1.0,1,1
MNIST,0.1,102,1.0,1,1
MNIST,0.1,157,1.0,1,1
MNIST,0.1,57,1.0,1,1
MNIST,0.1,128,1.0,1,1
MNIST,0.1,160,1.0,1,1
MNIST,0.1,167,1.0,1,1
MNIST,0.1,175,1.0,1,1
MNIST,0.1,194,1.0,1,1
MNIST,0.1,156,1.0,1,1
MNIST,0.1,62,1.0,1,1
MNIST,0.1,91,1.0,1,1
MNIST,0.1,139,1.0,1,1
MNIST,0.1,130,1.0,1,1
MNIST,0.1,165,1.0,1,1
MNIST,0.1,4,1.0,1,1
MNIST,0.1,107,1.0,1,1
MNIST,0.1,77,1.0,1,1
MNIST,0.1,139,1.0,1,1
MNIST,0.1,183,1.0,1,1
MNIST,0.1,163,1.0,1,1
MNIST,0.1,135,1.0,1,1
MNIST,0.1,34,1.0,1,1
MNIST,0.1,50,1.0,1,1
MNIST,0.1,23,1.0,1,1
MNIST,0.1,64,1.0,1,1
MNIST,0.1,149,1.0,1,1
MNIST,0.1,97,1.0,1,1
MNIST,0.1,19,1.0,1,1
MNIST,0.1,43,1.0,1,1
MNIST,0.1,9,1.0,1,1
MNIST,0.1,142,1.0,1,1
MNIST,0.1,103,1.0,1,1
MNIST,0.1,56,1.0,1,1
MNIST,0.1,6,1.0,1,1
MNIST,0.1,22,1.0,1,1
MNIST,0.1,12,1.0,1,1
MNIST,0.1,93,1.0,1,1
MNIST,0.1,144,1.0,1,1
MNIST,0.1,71,1.0,1,1
MNIST,0.1,178,1.0,1,1
MNIST,0.1,169,1.0,1,1
MNIST,0.1,194,1.0,1,1
MNIST,0.1,0,1.0,1,1
MNIST,0.1,178,1.0,1,1
MNIST,0.1,74,1.0,1,1
MNIST,0.1,27,1.0,1,1
MNIST,0.1,195,1.0,1,1
MNIST,0.1,90,1.0,1,1
MNIST,0.1,148,1.0,1,1
MNIST,0.1,135,1.0,1,1
MNIST,0.1,72,1.0,1,1
MNIST,0.1,70,1.0,1,1
MNIST,0.1,120,1.0,1,1
MNIST,0.1,169,1.0,1,1
MNIST,0.1,161,1.0,1,1
MNIST,0.1,18,1.0,1,1
MNIST,0.1,156,1.0,1,1
MNIST,0.1,44,1.0,1,1
MNIST,0.1,33,1.0,1,1
MNIST,0.1,63,1.0,1,1
MNIST,0.1,101,1.0,1,1
MNIST,0.1,5,1.0,1,1
MNIST,0.1,65,1.0,1,1
MNIST,0.1,16,1.0,1,1
MNIST,0.1,193,1.0,1,1
MNIST,0.1,198,1.0,1,1
MNIST,0.1,104,1.0,1,1
MNIST,0.1,164,1.0,1,1
MNIST,0.1,172,1.0,1,1
MNIST,0.1,109,1.0,1,1
MNIST,0.1,185,1.0,1,1
MNIST,0.1,102,1.0,1,1
MNIST,0.1,66,1.0,1,1
MNIST,0.1,95,1.0,1,1
MNIST,0.1,138,1.0,1,1
MNIST,0.1,101,1.0,1,1
MNIST,0.1,2,1.0,1,1
MNIST,0.1,103,1.0,1,1
MNIST,0.1,142,1.0,1,1
MNIST,0.1,186,1.0,1,1
MNIST,0.1,141,1.0,1,1
MNIST,0.1,12,1.0,1,1
MNIST,0.1,73,1.0,1,1
MNIST,0.1,147,1.0,1,1
MNIST,0.1,84,1.0,1,1
MNIST,0.1,186,1.0,1,1
MNIST,0.1,59,1.0,1,1
MNIST,0.1,26,1.0,1,1
MNIST,0.1,86,1.0,1,1
MNIST,0.1,149,1.0,1,1
MNIST,0.1,167,1.0,1,1
MNIST,0.1,102,1.0,1,1
MNIST,0.1,133,1.0,1,1
MNIST,0.1,126,1.0,1,1
MNIST,0.1,177,1.0,1,1
MNIST,0.1,28,1.0,1,1
MNIST,0.1,144,1.0,1,1
MNIST,0.1,197,1.0,1,1
MNIST,0.1,108,1.0,1,1
MNIST,0.1,33,1.0,1,1
MNIST,0.1,92,1.0,1,1
MNIST,0.1,156,1.0,1,1
MNIST,0.1,147,1.0,1,1
MNIST,0.1,43,1.0,1,1
