M,K,p_c,exponent,exponent_se,r2,plateau_mean,plateau_std
200,400,0.8500000000000003,-1.5187093028392806,0.5427043996805161,0.6619079457500047,9.905,2.0485385034214025
2000,400,0.7000000000000002,-0.801582858676295,0.1328334030047466,0.9010272430065123,5.248333333333333,0.2410325012662538
500,150,0.8500000000000003,-1.598091629860607,0.32508556811160294,0.8579857030033761,7.75,1.9408245670333006
500,200,0.8500000000000003,-1.5748099296093616,0.44206291411244175,0.7603466501796541,7.91,1.6575765442355896
