config,dataset,M,img_dim,sigma,target,initial_overlap,cleaned_overlap,exact,recon_corr_initial,recon_corr_cleaned
MNIST M=500 (capacity test),mnist,500,784,0.4,304,0.20666666666666667,0.18,0,0.316710743078901,0.3097698785217524
MNIST M=500 (capacity test),mnist,500,784,0.4,498,0.16666666666666666,0.18,0,0.30133086266734405,0.4289113287106839
MNIST M=500 (capacity test),mnist,500,784,0.4,233,0.22,0.22,0,0.14322722674976582,0.41337791940206936
MNIST M=500 (capacity test),mnist,500,784,0.4,435,0.26,0.22,0,0.45393158969580993,0.3438180205797532
MNIST M=500 (capacity test),mnist,500,784,0.4,8,0.17333333333333334,0.14666666666666667,0,0.3689351137740352,0.7979150275421288
MNIST M=500 (capacity test),mnist,500,784,0.4,443,0.18666666666666668,0.24,0,0.3453766756530408,0.3489970784359206
MNIST M=500 (capacity test),mnist,500,784,0.4,416,0.24666666666666667,0.18666666666666668,0,-0.019066899651158337,0.16587128089585165
MNIST M=500 (capacity test),mnist,500,784,0.4,171,0.16,0.18666666666666668,0,0.6321311493838365,0.580455284847469
MNIST M=500 (capacity test),mnist,500,784,0.4,459,0.20666666666666667,0.25333333333333335,0,0.22932326745233494,0.14913650345822207
MNIST M=500 (capacity test),mnist,500,784,0.4,232,0.2733333333333333,0.22,0,0.14197621799669488,0.5124665009422966
MNIST M=500 (capacity test),mnist,500,784,0.4,41,0.25333333333333335,0.25333333333333335,0,0.21917447988818325,0.1754810822566274
MNIST M=500 (capacity test),mnist,500,784,0.4,18,0.23333333333333334,0.19333333333333333,0,0.39189605873379174,0.11986457212907725
MNIST M=500 (capacity test),mnist,500,784,0.4,250,0.2,0.23333333333333334,0,0.16801370562231197,0.507154106598807
MNIST M=500 (capacity test),mnist,500,784,0.4,195,0.30666666666666664,0.24,0,0.41958084838270704,0.26634406576350217
MNIST M=500 (capacity test),mnist,500,784,0.4,65,0.18,0.18666666666666668,0,0.2852213117211231,0.22912113648964594
MNIST M=500 (capacity test),mnist,500,784,0.4,467,0.18,0.25333333333333335,0,0.3456624209789069,0.17070433134509247
MNIST M=500 (capacity test),mnist,500,784,0.4,367,0.21333333333333335,0.22666666666666666,0,0.21529843752750163,0.17110101489225732
MNIST M=500 (capacity test),mnist,500,784,0.5,255,0.26,0.22,0,0.3879936006711557,0.12304139535866117
MNIST M=500 (capacity test),mnist,500,784,0.5,394,0.17333333333333334,0.2,0,0.30686259344244404,0.31702352153373575
MNIST M=500 (capacity test),mnist,500,784,0.5,144,0.18666666666666668,0.2,0,0.485344994050636,0.527463768370701
MNIST M=500 (capacity test),mnist,500,784,0.5,321,0.26666666666666666,0.2,0,0.001705682625854235,0.06474766587774368
MNIST M=500 (capacity test),mnist,500,784,0.5,400,0.2,0.18666666666666668,0,0.4825843765485315,0.3701945799365807
MNIST M=500 (capacity test),mnist,500,784,0.5,418,0.29333333333333333,0.22666666666666666,0,0.32717196274581967,0.34657140197566494
MNIST M=500 (capacity test),mnist,500,784,0.5,439,0.22666666666666666,0.16666666666666666,0,0.46416531108183573,0.3738308989100241
MNIST M=500 (capacity test),mnist,500,784,0.5,485,0.19333333333333333,0.22,0,0.2074014020190438,0.2493618548688563
MNIST M=500 (capacity test),mnist,500,784,0.5,392,0.12666666666666668,0.24,0,0.4311742525722017,0.4980613301936028
MNIST M=500 (capacity test),mnist,500,784,0.5,156,0.15333333333333332,0.23333333333333334,0,0.5804652131148634,0.6528356759348031
MNIST M=500 (capacity test),mnist,500,784,0.5,229,0.26666666666666666,0.20666666666666667,0,0.3098156131614439,0.2723210176532807
MNIST M=500 (capacity test),mnist,500,784,0.5,349,0.21333333333333335,0.16666666666666666,0,0.1558537539236254,0.06299254797444047
MNIST M=500 (capacity test),mnist,500,784,0.5,325,0.22,0.14,0,0.5758924525966799,0.2302819909278554
MNIST M=500 (capacity test),mnist,500,784,0.5,412,0.32,1.0,1,0.06760752296950508,0.999999999997088
MNIST M=500 (capacity test),mnist,500,784,0.5,11,0.19333333333333333,0.2,0,0.2152199071625644,0.8770167600598501
MNIST M=500 (capacity test),mnist,500,784,0.5,268,0.16,0.23333333333333334,0,0.2966015578333683,0.23602158720595137
MNIST M=500 (capacity test),mnist,500,784,0.5,193,0.17333333333333334,0.16666666666666666,0,0.42461130870484404,0.4214908815220135
MNIST M=500 (capacity test),mnist,500,784,0.5,347,0.24666666666666667,0.2,0,0.4104617205704116,0.6864801975801879
MNIST M=500 (capacity test),mnist,500,784,0.5,458,0.3,0.17333333333333334,0,0.3175094114022583,0.5139738915606641
MNIST M=500 (capacity test),mnist,500,784,0.5,408,0.18,0.22666666666666666,0,0.1621772360541036,0.5796281912667839
MNIST M=500 (capacity test),mnist,500,784,0.5,339,0.16666666666666666,0.16666666666666666,0,0.2159453559361232,0.4462216086067592
MNIST M=500 (capacity test),mnist,500,784,0.5,86,0.17333333333333334,0.21333333333333335,0,0.32654569407170453,0.7138572758292805
MNIST M=500 (capacity test),mnist,500,784,0.5,125,0.17333333333333334,0.17333333333333334,0,0.17317101370148444,0.09392426297776281
MNIST M=500 (capacity test),mnist,500,784,0.5,58,0.24,0.24,0,-0.13005136151150787,0.03971163088678051
MNIST M=500 (capacity test),mnist,500,784,0.5,161,0.2,0.22666666666666666,0,-0.011203874183123304,0.7193547046706127
MNIST M=500 (capacity test),mnist,500,784,0.5,374,0.25333333333333335,0.2,0,0.3992180656406682,0.2317315570504155
MNIST M=500 (capacity test),mnist,500,784,0.5,244,0.18666666666666668,0.21333333333333335,0,0.04337964145739872,0.19203632773551782
MNIST M=500 (capacity test),mnist,500,784,0.5,49,0.22666666666666666,0.22,0,0.33949952534991185,0.17925173504158626
MNIST M=500 (capacity test),mnist,500,784,0.5,108,0.16,0.18666666666666668,0,0.3718649481795273,0.19562250088066988
MNIST M=500 (capacity test),mnist,500,784,0.5,24,0.17333333333333334,0.19333333333333333,0,0.31883057345620286,0.21072566342324844
MNIST M=500 (capacity test),mnist,500,784,0.5,357,0.18666666666666668,0.19333333333333333,0,-0.11521914389309577,0.16662267882020762
MNIST M=500 (capacity test),mnist,500,784,0.5,258,0.12666666666666668,0.23333333333333334,0,0.3593242246080785,0.38016874882778534
MNIST M=500 (capacity test),mnist,500,784,0.5,141,0.19333333333333333,0.17333333333333334,0,0.34558086599470966,0.13638703524991627
MNIST M=500 (capacity test),mnist,500,784,0.5,17,0.22,0.25333333333333335,0,0.33763237466999746,0.4470622775963234
MNIST M=500 (capacity test),mnist,500,784,0.5,56,0.22666666666666666,0.19333333333333333,0,0.28771451194430914,0.2415620406098155
MNIST M=500 (capacity test),mnist,500,784,0.5,32,0.22666666666666666,0.22,0,0.3050642163673541,0.3068781223047195
MNIST M=500 (capacity test),mnist,500,784,0.5,233,0.18,0.18,0,0.36723086131896127,0.3489043818131332
MNIST M=500 (capacity test),mnist,500,784,0.5,361,0.2,0.25333333333333335,0,0.3450309229671397,0.44594429784634615
MNIST M=500 (capacity test),mnist,500,784,0.5,178,0.23333333333333334,0.22666666666666666,0,0.14480846192865515,0.07215336400864013
MNIST M=500 (capacity test),mnist,500,784,0.5,446,0.20666666666666667,0.18666666666666668,0,0.41906776346087377,0.2884591052711622
MNIST M=500 (capacity test),mnist,500,784,0.6,423,0.22666666666666666,0.22666666666666666,0,0.3564628335020728,0.4948156029035024
MNIST M=500 (capacity test),mnist,500,784,0.6,485,0.2,0.24666666666666667,0,0.36146315071255086,0.23668110828390884
MNIST M=500 (capacity test),mnist,500,784,0.6,0,0.18666666666666668,0.24,0,0.2716233516556015,0.14893163092676515
MNIST M=500 (capacity test),mnist,500,784,0.6,446,0.16666666666666666,0.26,0,0.3632254243413892,0.3104506597389047
MNIST M=500 (capacity test),mnist,500,784,0.6,185,0.18666666666666668,0.2,0,0.013560258847929517,0.1354476962877542
MNIST M=500 (capacity test),mnist,500,784,0.6,67,0.21333333333333335,0.22,0,0.11288936325611075,0.051415078521207344
MNIST M=500 (capacity test),mnist,500,784,0.6,488,0.19333333333333333,0.2,0,0.39179878854330585,0.7253760870622019
MNIST M=500 (capacity test),mnist,500,784,0.6,226,0.2,0.2733333333333333,0,0.3285725270156273,0.8889158578876698
MNIST M=500 (capacity test),mnist,500,784,0.6,372,0.14666666666666667,0.19333333333333333,0,0.445346727041749,0.34895841056931287
MNIST M=500 (capacity test),mnist,500,784,0.6,339,0.22666666666666666,0.22666666666666666,0,0.33996146470312355,0.2679288021113975
MNIST M=500 (capacity test),mnist,500,784,0.6,180,0.22666666666666666,0.18,0,0.2571522531156397,0.4003228602765325
MNIST M=500 (capacity test),mnist,500,784,0.6,176,0.2,0.15333333333333332,0,0.3226938103141879,0.14965578435840646
MNIST M=500 (capacity test),mnist,500,784,0.6,301,0.19333333333333333,0.19333333333333333,0,-0.03814482626216301,0.15441677193677283
MNIST M=500 (capacity test),mnist,500,784,0.6,422,0.17333333333333334,0.17333333333333334,0,0.10730041156303799,0.2474395811081035
MNIST M=500 (capacity test),mnist,500,784,0.6,404,0.22,0.24,0,0.19384223763607136,0.27412941258229084
MNIST M=500 (capacity test),mnist,500,784,0.6,45,0.17333333333333334,0.22,0,0.31021034234503336,0.37899857828883926
MNIST M=500 (capacity test),mnist,500,784,0.6,392,0.28,0.2,0,0.4313411567824619,0.18095096822374185
MNIST M=500 (capacity test),mnist,500,784,0.6,111,0.2,0.23333333333333334,0,0.29671892624765306,0.39235216331463174
MNIST M=500 (capacity test),mnist,500,784,0.6,84,0.23333333333333334,0.23333333333333334,0,0.30857351772683406,0.4875784237397432
MNIST M=500 (capacity test),mnist,500,784,0.6,159,0.22,0.25333333333333335,0,0.18004628881099458,0.2071044300543244
MNIST M=500 (capacity test),mnist,500,784,0.6,253,0.19333333333333333,0.22,0,0.11590313817856969,0.13359305662494605
MNIST M=500 (capacity test),mnist,500,784,0.6,14,0.20666666666666667,0.19333333333333333,0,0.3684265960641193,0.1417146151317172
MNIST M=500 (capacity test),mnist,500,784,0.6,162,0.14,0.26,0,0.25096406809263966,0.12606318663001315
MNIST M=500 (capacity test),mnist,500,784,0.6,41,0.24,0.24,0,0.21421579013190278,0.19098101124470565
MNIST M=500 (capacity test),mnist,500,784,0.6,484,0.11333333333333333,0.16666666666666666,0,0.20525899580764456,0.21731446118999037
MNIST M=500 (capacity test),mnist,500,784,0.6,495,0.21333333333333335,0.23333333333333334,0,0.45842589577756054,0.06464042199799715
MNIST M=500 (capacity test),mnist,500,784,0.6,261,0.13333333333333333,0.18666666666666668,0,0.46783589264470943,0.25008320114730426
MNIST M=500 (capacity test),mnist,500,784,0.6,411,0.22,0.22666666666666666,0,0.26152269827486624,0.3129986848382254
MNIST M=500 (capacity test),mnist,500,784,0.6,431,0.19333333333333333,0.22,0,0.0571842780752238,0.24799806940147903
MNIST M=500 (capacity test),mnist,500,784,0.6,274,0.18666666666666668,0.24,0,0.5082068079628687,0.19891245163669577
MNIST M=500 (capacity test),mnist,500,784,0.6,463,0.18,0.25333333333333335,0,0.22471304234445102,0.2578549821043793
MNIST M=500 (capacity test),mnist,500,784,0.6,257,0.23333333333333334,0.18,0,0.33273091930104964,0.09869840531720608
MNIST M=500 (capacity test),mnist,500,784,0.6,166,0.20666666666666667,0.20666666666666667,0,0.30192541682818436,0.23281615817746265
MNIST M=500 (capacity test),mnist,500,784,0.6,238,0.2,0.21333333333333335,0,0.42392319403035345,0.3993753778016282
MNIST M=500 (capacity test),mnist,500,784,0.6,347,0.22,0.24666666666666667,0,0.4204583748628922,0.1915612789501182
MNIST M=500 (capacity test),mnist,500,784,0.6,252,0.22,0.20666666666666667,0,0.48125396721802527,0.319960284997495
MNIST M=500 (capacity test),mnist,500,784,0.6,5,0.23333333333333334,0.22666666666666666,0,0.49605542694180593,0.1938256616803818
MNIST M=500 (capacity test),mnist,500,784,0.6,259,0.3,0.23333333333333334,0,0.04943152456115005,0.14018729097649704
MNIST M=500 (capacity test),mnist,500,784,0.6,356,0.22,0.18666666666666668,0,0.37710322770289495,0.18570759084743568
MNIST M=500 (capacity test),mnist,500,784,0.6,467,0.24,0.20666666666666667,0,0.40992230374025224,0.202688065134971
MNIST M=500 (capacity test),mnist,500,784,0.8,353,0.16666666666666666,0.18666666666666668,0,0.40422493428867123,0.7272628181432319
MNIST M=500 (capacity test),mnist,500,784,0.8,32,0.24,0.16666666666666666,0,0.16173000638092053,0.23154119452134134
MNIST M=500 (capacity test),mnist,500,784,0.8,184,0.18,0.22666666666666666,0,0.025924800869259457,0.1839036433797047
MNIST M=500 (capacity test),mnist,500,784,0.8,368,0.19333333333333333,0.22,0,0.4571494356879039,0.35122733705205017
MNIST M=500 (capacity test),mnist,500,784,0.8,210,0.18,0.19333333333333333,0,0.4067526790778638,0.304822191654605
MNIST M=500 (capacity test),mnist,500,784,0.8,465,0.23333333333333334,0.19333333333333333,0,0.2810657012032755,0.11481554543286475
MNIST M=500 (capacity test),mnist,500,784,0.8,147,0.19333333333333333,0.22666666666666666,0,0.3684048276272112,0.38219177873668064
MNIST M=500 (capacity test),mnist,500,784,0.8,65,0.16666666666666666,0.15333333333333332,0,0.1524018965241562,0.3163737292805635
MNIST M=500 (capacity test),mnist,500,784,0.8,216,0.26,0.23333333333333334,0,0.3660985307905607,0.24409674840994725
MNIST M=500 (capacity test),mnist,500,784,0.8,372,0.15333333333333332,0.2,0,0.10501943834794958,0.3102015775773857
MNIST M=500 (capacity test),mnist,500,784,0.8,417,0.18666666666666668,0.26,0,0.44897619188830257,0.25030738520846735
MNIST M=500 (capacity test),mnist,500,784,0.8,257,0.16666666666666666,0.18666666666666668,0,0.0782098469481541,0.36282451802468696
MNIST M=500 (capacity test),mnist,500,784,0.8,333,0.1,0.18666666666666668,0,0.4239544790124272,0.45341122164652914
MNIST M=500 (capacity test),mnist,500,784,0.8,317,0.22666666666666666,0.21333333333333335,0,0.4935015458830146,0.12875215326391032
MNIST M=500 (capacity test),mnist,500,784,0.8,444,0.22666666666666666,0.24,0,0.48839092331252126,0.3138871037830733
MNIST M=500 (capacity test),mnist,500,784,0.8,70,0.24,0.21333333333333335,0,0.5290804049346634,0.5847050783537511
MNIST M=500 (capacity test),mnist,500,784,0.8,360,0.16666666666666666,0.25333333333333335,0,0.3364382509580813,0.23755501933308854
MNIST M=500 (capacity test),mnist,500,784,0.8,492,0.18666666666666668,0.2,0,0.2546266617588325,0.8854441201419282
MNIST M=500 (capacity test),mnist,500,784,0.8,271,0.17333333333333334,0.2,0,0.326495161862624,0.2855339393343752
MNIST M=500 (capacity test),mnist,500,784,0.8,84,0.22,0.19333333333333333,0,0.5280977552448328,0.1992865177727214
MNIST M=500 (capacity test),mnist,500,784,0.8,231,0.15333333333333332,0.19333333333333333,0,0.2438985510410566,0.3097757998596332
MNIST M=500 (capacity test),mnist,500,784,0.8,391,0.18666666666666668,0.24,0,0.40636033497154844,0.5412642012185428
MNIST M=500 (capacity test),mnist,500,784,0.8,367,0.21333333333333335,0.25333333333333335,0,0.27107905573961827,0.4664264104780764
MNIST M=500 (capacity test),mnist,500,784,0.8,108,0.19333333333333333,0.2,0,0.5036343182912707,0.18685740783591942
MNIST M=500 (capacity test),mnist,500,784,0.8,282,0.18666666666666668,0.22,0,0.49858836011734203,0.5552082710691478
MNIST M=500 (capacity test),mnist,500,784,0.8,270,0.18,0.18,0,0.5391776734440134,0.351474731984452
MNIST M=500 (capacity test),mnist,500,784,0.8,141,0.2,0.23333333333333334,0,0.29661142543195557,0.37893599478245577
MNIST M=500 (capacity test),mnist,500,784,0.8,125,0.21333333333333335,0.24,0,0.00436213364974225,0.0718136948038387
MNIST M=500 (capacity test),mnist,500,784,0.8,69,0.2733333333333333,0.22,0,0.43241873144080506,0.14364517882164088
MNIST M=500 (capacity test),mnist,500,784,0.8,259,0.26,0.22,0,0.534718320676712,0.6811647829611565
MNIST M=500 (capacity test),mnist,500,784,0.8,121,0.16666666666666666,0.2,0,0.40341150685349214,0.27272173483336354
MNIST M=500 (capacity test),mnist,500,784,0.8,329,0.26,0.2,0,0.40415151273330513,0.16303739758816246
MNIST M=500 (capacity test),mnist,500,784,0.8,232,0.22666666666666666,0.18,0,0.33516164338717824,0.2278878779775441
MNIST M=500 (capacity test),mnist,500,784,0.8,389,0.18666666666666668,0.22666666666666666,0,0.43045395438647666,0.3507320787474814
MNIST M=500 (capacity test),mnist,500,784,0.8,387,0.15333333333333332,0.21333333333333335,0,0.029847905260647133,0.2551565512812638
MNIST M=500 (capacity test),mnist,500,784,0.8,234,0.22666666666666666,0.21333333333333335,0,0.10225696915302952,0.10127886816714156
MNIST M=500 (capacity test),mnist,500,784,0.8,101,0.16666666666666666,0.15333333333333332,0,0.21715101151437274,0.25653460811672646
MNIST M=500 (capacity test),mnist,500,784,0.8,207,0.22,0.21333333333333335,0,0.337036411669602,0.39614514642441206
MNIST M=500 (capacity test),mnist,500,784,0.8,425,0.20666666666666667,0.21333333333333335,0,0.5430370399045508,0.39557554836855807
MNIST M=500 (capacity test),mnist,500,784,0.8,190,0.20666666666666667,0.22,0,0.03672821094199267,0.1409220998375821
MNIST M=500 (capacity test),mnist,500,784,1.0,387,0.18666666666666668,0.19333333333333333,0,0.17198782294018836,0.18483281945769
MNIST M=500 (capacity test),mnist,500,784,1.0,36,0.24,0.26666666666666666,0,0.4382574029552769,0.3247843595781013
MNIST M=500 (capacity test),mnist,500,784,1.0,494,0.21333333333333335,0.26,0,0.25286298406412155,0.190588785698787
MNIST M=500 (capacity test),mnist,500,784,1.0,95,0.14666666666666667,0.15333333333333332,0,0.1288518128924771,0.31513128888857705
MNIST M=500 (capacity test),mnist,500,784,1.0,320,0.16666666666666666,0.18,0,0.31424949323411566,0.24352847531070293
MNIST M=500 (capacity test),mnist,500,784,1.0,147,0.16,0.17333333333333334,0,0.37060005357095943,0.37423298696349083
MNIST M=500 (capacity test),mnist,500,784,1.0,74,0.19333333333333333,0.17333333333333334,0,0.017449497320067637,0.11403203696910946
MNIST M=500 (capacity test),mnist,500,784,1.0,121,0.20666666666666667,0.23333333333333334,0,0.5054750641379846,0.24449705882837652
MNIST M=500 (capacity test),mnist,500,784,1.0,346,0.20666666666666667,0.18666666666666668,0,0.32148696711261737,0.25641883405694965
MNIST M=500 (capacity test),mnist,500,784,1.0,418,0.20666666666666667,0.23333333333333334,0,0.7083546466023896,0.20345229460928113
MNIST M=500 (capacity test),mnist,500,784,1.0,222,0.19333333333333333,0.18666666666666668,0,0.4465664674662784,0.4708632779354615
MNIST M=500 (capacity test),mnist,500,784,1.0,47,0.15333333333333332,0.21333333333333335,0,0.36559208604673393,0.38607777514206554
MNIST M=500 (capacity test),mnist,500,784,1.0,468,0.16,0.16666666666666666,0,0.39120903741927454,0.08549358712693628
MNIST M=500 (capacity test),mnist,500,784,1.0,105,0.18666666666666668,0.23333333333333334,0,0.2512684939332531,0.09668526349248087
MNIST M=500 (capacity test),mnist,500,784,1.0,58,0.21333333333333335,0.28,0,0.06918431369104806,0.2801361806586126
MNIST M=500 (capacity test),mnist,500,784,1.0,335,0.15333333333333332,0.21333333333333335,0,0.1556621133238843,0.07103424346008089
MNIST M=500 (capacity test),mnist,500,784,1.0,400,0.19333333333333333,0.19333333333333333,0,0.3179433813283784,0.12425829833675953
MNIST M=500 (capacity test),mnist,500,784,1.0,254,0.12,0.16666666666666666,0,0.3335226189178186,0.11585256503302374
MNIST M=500 (capacity test),mnist,500,784,1.0,233,0.26666666666666666,0.25333333333333335,0,0.44084718220620195,0.31491366615891997
MNIST M=500 (capacity test),mnist,500,784,1.0,241,0.2866666666666667,0.2,0,0.4895195470239739,0.8340457736633177
MNIST M=500 (capacity test),mnist,500,784,1.0,265,0.25333333333333335,0.22,0,0.05687768612075139,0.18959717213040014
MNIST M=500 (capacity test),mnist,500,784,1.0,255,0.20666666666666667,0.22,0,0.04701340616687379,0.12304139535866117
MNIST M=500 (capacity test),mnist,500,784,1.0,436,0.20666666666666667,0.22666666666666666,0,0.18649112242293614,0.303489874720302
MNIST M=500 (capacity test),mnist,500,784,1.0,121,0.19333333333333333,0.19333333333333333,0,0.06916732825250531,0.28840995912006456
MNIST M=500 (capacity test),mnist,500,784,1.0,395,0.21333333333333335,0.18,0,0.507609651897269,0.15086261280854754
MNIST M=500 (capacity test),mnist,500,784,1.0,356,0.22,0.15333333333333332,0,0.17066074551420995,0.24880771664383866
MNIST M=500 (capacity test),mnist,500,784,1.0,417,0.16,0.24,0,0.5209654924745941,0.19535333259485863
MNIST M=500 (capacity test),mnist,500,784,1.0,471,0.08,0.17333333333333334,0,0.4664116790573777,-0.004712495080292736
MNIST M=500 (capacity test),mnist,500,784,1.0,297,0.17333333333333334,0.20666666666666667,0,0.399233340844959,0.3664033530558293
MNIST M=500 (capacity test),mnist,500,784,1.0,344,0.17333333333333334,0.18666666666666668,0,0.29083275902836836,0.3378379020180016
MNIST M=500 (capacity test),mnist,500,784,1.0,376,0.18666666666666668,0.21333333333333335,0,0.22774288466523793,0.9048460321889791
MNIST M=500 (capacity test),mnist,500,784,1.0,402,0.24,0.21333333333333335,0,-0.12933131733719852,0.23434531871503012
MNIST M=500 (capacity test),mnist,500,784,1.0,52,0.19333333333333333,0.2,0,0.566166198777263,0.40842563878423105
MNIST M=500 (capacity test),mnist,500,784,1.0,18,0.14,0.22,0,0.37513355139464594,0.4030191271985519
MNIST M=500 (capacity test),mnist,500,784,1.0,169,0.15333333333333332,0.23333333333333334,0,0.2980772094103464,0.19499114749621632
MNIST M=500 (capacity test),mnist,500,784,1.0,218,0.18,0.20666666666666667,0,-0.13827018152759177,0.10200840154110112
MNIST M=500 (capacity test),mnist,500,784,1.0,254,0.16,0.26666666666666666,0,0.13775352439504265,0.20508386523457373
MNIST M=500 (capacity test),mnist,500,784,1.0,461,0.24666666666666667,0.25333333333333335,0,0.05052105370248879,0.09127267605421453
MNIST M=500 (capacity test),mnist,500,784,1.0,337,0.17333333333333334,0.19333333333333333,0,0.6232883920119744,0.6211585054223082
MNIST M=500 (capacity test),mnist,500,784,1.0,86,0.18,0.19333333333333333,0,0.43092396928711485,0.5959286769800988
MNIST M=800 (capacity test),mnist,800,784,0.0,704,0.8866666666666667,1.0,1,0.8014622329114515,0.9999999999433523
MNIST M=800 (capacity test),mnist,800,784,0.0,721,0.9066666666666666,1.0,1,0.8721349790656348,0.9999999999455956
MNIST M=800 (capacity test),mnist,800,784,0.0,497,0.88,1.0,1,0.7093161295754228,0.9999999999339982
MNIST M=800 (capacity test),mnist,800,784,0.0,787,0.9533333333333334,1.0,1,0.8640109438385924,0.9999999999579053
MNIST M=800 (capacity test),mnist,800,784,0.0,507,0.98,1.0,1,0.9335458826798242,0.9999999999001297
MNIST M=800 (capacity test),mnist,800,784,0.0,463,1.0,1.0,1,0.999999999947003,0.999999999947003
MNIST M=800 (capacity test),mnist,800,784,0.0,200,0.9666666666666667,1.0,1,0.9393668220391586,0.999999999963152
MNIST M=800 (capacity test),mnist,800,784,0.0,764,0.92,1.0,1,0.6914374129881086,0.9999999999153436
MNIST M=800 (capacity test),mnist,800,784,0.0,464,0.9733333333333334,1.0,1,0.8455103147214957,0.9999999999413599
MNIST M=800 (capacity test),mnist,800,784,0.0,345,0.9666666666666667,1.0,1,0.9302855523512139,0.9999999999625601
MNIST M=800 (capacity test),mnist,800,784,0.0,203,0.7866666666666666,1.0,1,0.575684819132544,0.9999999999236541
MNIST M=800 (capacity test),mnist,800,784,0.0,173,0.9466666666666667,1.0,1,0.8661184508548085,0.9999999999166634
MNIST M=800 (capacity test),mnist,800,784,0.0,91,1.0,1.0,1,0.9999999999782121,0.9999999999782121
MNIST M=800 (capacity test),mnist,800,784,0.0,451,0.9933333333333333,1.0,1,0.980859876059792,0.9999999999502086
MNIST M=800 (capacity test),mnist,800,784,0.0,125,0.8266666666666667,1.0,1,0.6049710742780452,0.9999999998936842
MNIST M=800 (capacity test),mnist,800,784,0.0,417,0.78,1.0,1,0.6710187459346628,0.9999999999656605
MNIST M=800 (capacity test),mnist,800,784,0.0,578,0.9933333333333333,1.0,1,0.9900018752712415,0.9999999999753995
MNIST M=800 (capacity test),mnist,800,784,0.0,751,0.9866666666666667,1.0,1,0.9561104544617874,0.9999999999510139
MNIST M=800 (capacity test),mnist,800,784,0.0,160,0.9333333333333333,1.0,1,0.7809609664347624,0.9999999999415761
MNIST M=800 (capacity test),mnist,800,784,0.0,524,1.0,1.0,1,0.9999999999440629,0.9999999999440629
MNIST M=800 (capacity test),mnist,800,784,0.0,483,0.9533333333333334,1.0,1,0.8503126194148939,0.9999999999730007
MNIST M=800 (capacity test),mnist,800,784,0.0,592,0.96,1.0,1,0.8245456841377766,0.9999999997529821
MNIST M=800 (capacity test),mnist,800,784,0.0,336,0.9533333333333334,1.0,1,0.9048213392845704,0.9999999999528423
MNIST M=800 (capacity test),mnist,800,784,0.0,386,1.0,1.0,1,0.9999999999464136,0.9999999999464136
MNIST M=800 (capacity test),mnist,800,784,0.0,613,1.0,1.0,1,0.9999999999703821,0.9999999999703821
MNIST M=800 (capacity test),mnist,800,784,0.0,405,1.0,1.0,1,0.9999999999389809,0.9999999999389809
MNIST M=800 (capacity test),mnist,800,784,0.0,553,1.0,1.0,1,0.9999999999764525,0.9999999999764525
MNIST M=800 (capacity test),mnist,800,784,0.0,552,0.8466666666666667,1.0,1,0.7760654949560569,0.9999999999568303
MNIST M=800 (capacity test),mnist,800,784,0.0,548,0.94,1.0,1,0.7870396040229042,0.9999999999286872
MNIST M=800 (capacity test),mnist,800,784,0.0,81,0.8066666666666666,1.0,1,0.5762784827512124,0.9999999999056076
MNIST M=800 (capacity test),mnist,800,784,0.0,752,0.7133333333333334,1.0,1,0.6258901137306353,0.9999999999012867
MNIST M=800 (capacity test),mnist,800,784,0.0,43,0.76,1.0,1,0.592748902325309,0.9999999999187805
MNIST M=800 (capacity test),mnist,800,784,0.0,595,0.7666666666666667,1.0,1,0.7154191519522249,0.9999999998654541
MNIST M=800 (capacity test),mnist,800,784,0.0,667,0.9933333333333333,1.0,1,0.9843685557960685,0.9999999999601034
MNIST M=800 (capacity test),mnist,800,784,0.0,515,1.0,1.0,1,0.9999999999053071,0.9999999999053071
MNIST M=800 (capacity test),mnist,800,784,0.0,748,0.9866666666666667,1.0,1,0.9736856607569251,0.9999999999610321
MNIST M=800 (capacity test),mnist,800,784,0.0,598,0.98,1.0,1,0.9446629275134588,0.9999999999463748
MNIST M=800 (capacity test),mnist,800,784,0.0,254,1.0,1.0,1,0.999999999935028,0.999999999935028
MNIST M=800 (capacity test),mnist,800,784,0.0,179,0.9733333333333334,1.0,1,0.9158931432517131,0.999999999932206
MNIST M=800 (capacity test),mnist,800,784,0.0,214,0.9933333333333333,1.0,1,0.9815031161196989,0.9999999999458896
MNIST M=800 (capacity test),mnist,800,784,0.1,335,0.22,0.22,0,0.4439782618277033,0.42210595917290655
MNIST M=800 (capacity test),mnist,800,784,0.1,777,0.2,0.25333333333333335,0,0.4856229036536262,0.2768101964874055
MNIST M=800 (capacity test),mnist,800,784,0.1,783,0.18666666666666668,0.20666666666666667,0,0.3623271337906688,0.129168217031064
MNIST M=800 (capacity test),mnist,800,784,0.1,708,0.3,0.22666666666666666,0,0.19477281634131757,0.37348655043513534
MNIST M=800 (capacity test),mnist,800,784,0.1,356,0.25333333333333335,0.2,0,-0.08356177204789508,0.5113223895317379
MNIST M=800 (capacity test),mnist,800,784,0.1,321,0.2733333333333333,0.22,0,0.03585712108980673,0.18658096400076365
MNIST M=800 (capacity test),mnist,800,784,0.1,253,0.21333333333333335,0.19333333333333333,0,0.041348295426106706,0.330566218018609
MNIST M=800 (capacity test),mnist,800,784,0.1,310,0.2866666666666667,0.23333333333333334,0,0.4586388255727434,0.30630510685042783
