config,dataset,M,img_dim,sigma,target,initial_overlap,cleaned_overlap,exact,recon_corr_initial,recon_corr_cleaned
MNIST M=200 (baseline),mnist,200,784,0.1,135,0.9733333333333334,1.0,1,0.992521363276013,0.9999999999997367
MNIST M=200 (baseline),mnist,200,784,0.1,28,0.9733333333333334,1.0,1,0.9835652451103645,0.9999999999992477
MNIST M=200 (baseline),mnist,200,784,0.1,93,0.98,1.0,1,0.9886278077436386,0.9999999999995731
MNIST M=200 (baseline),mnist,200,784,0.1,103,0.98,1.0,1,0.9950510261347864,0.9999999999995699
MNIST M=200 (baseline),mnist,200,784,0.1,154,0.9733333333333334,1.0,1,0.9836689579628621,0.9999999999995212
MNIST M=200 (baseline),mnist,200,784,0.1,130,0.98,1.0,1,0.9932789845251697,0.9999999999995617
MNIST M=200 (baseline),mnist,200,784,0.1,91,0.9733333333333334,1.0,1,0.9871846418351965,0.9999999999996921
MNIST M=200 (baseline),mnist,200,784,0.1,24,0.9866666666666667,1.0,1,0.9908469645443871,0.9999999999996522
MNIST M=200 (baseline),mnist,200,784,0.1,39,0.98,1.0,1,0.9959052053401932,0.9999999999996565
MNIST M=200 (baseline),mnist,200,784,0.1,133,0.9933333333333333,1.0,1,0.9953254633085831,0.99999999999941
MNIST M=200 (baseline),mnist,200,784,0.1,86,0.9733333333333334,1.0,1,0.9877618840108963,0.9999999999996984
MNIST M=200 (baseline),mnist,200,784,0.1,73,0.96,1.0,1,0.9925075210377687,0.9999999999998277
MNIST M=200 (baseline),mnist,200,784,0.1,84,0.98,1.0,1,0.995655066362532,0.9999999999997679
MNIST M=200 (baseline),mnist,200,784,0.1,168,0.9933333333333333,1.0,1,0.997633779557688,0.9999999999997097
MNIST M=200 (baseline),mnist,200,784,0.1,136,0.98,1.0,1,0.9969818702394896,0.9999999999998208
MNIST M=200 (baseline),mnist,200,784,0.1,134,0.96,1.0,1,0.9904827850861013,0.9999999999996783
MNIST M=200 (baseline),mnist,200,784,0.1,18,0.9866666666666667,1.0,1,0.9976032494396396,0.9999999999997524
MNIST M=200 (baseline),mnist,200,784,0.1,113,0.9666666666666667,1.0,1,0.9883432854509671,0.999999999999749
MNIST M=200 (baseline),mnist,200,784,0.1,62,0.9866666666666667,1.0,1,0.9965427046027351,0.9999999999997672
MNIST M=200 (baseline),mnist,200,784,0.1,17,0.9933333333333333,1.0,1,0.9977119344119583,0.9999999999996478
MNIST M=200 (baseline),mnist,200,784,0.1,140,0.9733333333333334,1.0,1,0.989836555166832,0.9999999999997126
MNIST M=200 (baseline),mnist,200,784,0.1,2,0.96,1.0,1,0.9932440654395316,0.999999999999697
MNIST M=200 (baseline),mnist,200,784,0.1,57,0.9533333333333334,1.0,1,0.9748646399072894,0.9999999999993916
MNIST M=200 (baseline),mnist,200,784,0.1,27,0.96,1.0,1,0.988502006979174,0.9999999999997238
MNIST M=200 (baseline),mnist,200,784,0.1,81,0.9733333333333334,1.0,1,0.9936682488866219,0.9999999999997923
MNIST M=200 (baseline),mnist,200,784,0.1,59,0.9533333333333334,1.0,1,0.9838641923364042,0.9999999999995207
MNIST M=200 (baseline),mnist,200,784,0.1,39,0.9733333333333334,1.0,1,0.9949511265717839,0.9999999999996565
MNIST M=200 (baseline),mnist,200,784,0.1,132,0.98,1.0,1,0.993465376351627,0.9999999999997027
MNIST M=200 (baseline),mnist,200,784,0.1,164,0.9666666666666667,1.0,1,0.9767742751754471,0.999999999998828
MNIST M=200 (baseline),mnist,200,784,0.1,127,0.98,1.0,1,0.9899370576904364,0.999999999999577
MNIST M=200 (baseline),mnist,200,784,0.1,125,0.98,1.0,1,0.9900735843186437,0.9999999999995418
MNIST M=200 (baseline),mnist,200,784,0.2,177,0.6866666666666666,1.0,1,0.9424118302690003,0.9999999999998018
MNIST M=200 (baseline),mnist,200,784,0.2,192,0.8,1.0,1,0.917992825667839,0.9999999999995847
MNIST M=200 (baseline),mnist,200,784,0.2,184,0.84,1.0,1,0.9388354956968328,0.99999999999967
MNIST M=200 (baseline),mnist,200,784,0.2,59,0.7133333333333334,1.0,1,0.9597300745605024,0.9999999999995207
MNIST M=200 (baseline),mnist,200,784,0.2,107,0.76,1.0,1,0.9149136327785597,0.9999999999996344
MNIST M=200 (baseline),mnist,200,784,0.2,154,0.9133333333333333,1.0,1,0.9186180430742257,0.9999999999995212
MNIST M=200 (baseline),mnist,200,784,0.2,182,0.7733333333333333,1.0,1,0.9222044688958674,0.9999999999995861
MNIST M=200 (baseline),mnist,200,784,0.2,24,0.7933333333333333,1.0,1,0.8863795091936447,0.9999999999996522
MNIST M=200 (baseline),mnist,200,784,0.2,174,0.6666666666666666,1.0,1,0.9252765242754063,0.9999999999997291
MNIST M=200 (baseline),mnist,200,784,0.2,45,0.8066666666666666,1.0,1,0.9432137080644016,0.9999999999997923
MNIST M=200 (baseline),mnist,200,784,0.2,42,0.7266666666666667,1.0,1,0.9049200638383352,0.9999999999995491
MNIST M=200 (baseline),mnist,200,784,0.2,56,0.72,1.0,1,0.8942093485482158,0.9999999999993835
MNIST M=200 (baseline),mnist,200,784,0.2,107,0.7733333333333333,1.0,1,0.8848747240889728,0.9999999999996344
MNIST M=200 (baseline),mnist,200,784,0.2,70,0.74,1.0,1,0.9178322412876436,0.999999999999617
MNIST M=200 (baseline),mnist,200,784,0.2,7,0.8,1.0,1,0.940294517152498,0.9999999999998489
MNIST M=200 (baseline),mnist,200,784,0.2,96,0.8333333333333334,1.0,1,0.954157367608404,0.9999999999997086
MNIST M=200 (baseline),mnist,200,784,0.2,1,0.7733333333333333,1.0,1,0.8883248727992346,0.999999999999604
MNIST M=200 (baseline),mnist,200,784,0.2,158,0.7266666666666667,1.0,1,0.9267566309095767,0.999999999999646
MNIST M=200 (baseline),mnist,200,784,0.2,153,0.72,1.0,1,0.8502432849395789,0.9999999999997058
MNIST M=200 (baseline),mnist,200,784,0.2,2,0.7,1.0,1,0.927508159408231,0.999999999999697
MNIST M=200 (baseline),mnist,200,784,0.2,45,0.8066666666666666,1.0,1,0.9575184081054776,0.9999999999997923
MNIST M=200 (baseline),mnist,200,784,0.2,61,0.8866666666666667,1.0,1,0.942280371287429,0.9999999999996619
MNIST M=200 (baseline),mnist,200,784,0.2,180,0.74,1.0,1,0.9456963545603643,0.9999999999998158
MNIST M=200 (baseline),mnist,200,784,0.2,123,0.72,1.0,1,0.9399092014768486,0.9999999999998547
MNIST M=200 (baseline),mnist,200,784,0.2,169,0.72,1.0,1,0.9120308426455704,0.9999999999998078
MNIST M=200 (baseline),mnist,200,784,0.2,187,0.7533333333333333,1.0,1,0.9404617707589952,0.9999999999998213
MNIST M=200 (baseline),mnist,200,784,0.2,61,0.8,1.0,1,0.9478062671689687,0.9999999999996619
MNIST M=200 (baseline),mnist,200,784,0.2,4,0.68,1.0,1,0.9228206060343885,0.9999999999997857
MNIST M=200 (baseline),mnist,200,784,0.2,173,0.8266666666666667,1.0,1,0.8951214958228718,0.9999999999994288
MNIST M=200 (baseline),mnist,200,784,0.2,182,0.7333333333333333,1.0,1,0.8872306105633978,0.9999999999995861
MNIST M=200 (baseline),mnist,200,784,0.2,122,0.78,1.0,1,0.9416713537982718,0.999999999999757
MNIST M=200 (baseline),mnist,200,784,0.2,32,0.7,1.0,1,0.9230243038449369,0.9999999999998349
MNIST M=200 (baseline),mnist,200,784,0.2,41,0.7866666666666666,1.0,1,0.9086432533672069,0.9999999999997513
MNIST M=200 (baseline),mnist,200,784,0.2,199,0.7866666666666666,1.0,1,0.9608483344530393,0.9999999999996606
MNIST M=200 (baseline),mnist,200,784,0.2,182,0.7533333333333333,1.0,1,0.9043537878216096,0.9999999999995861
MNIST M=200 (baseline),mnist,200,784,0.2,57,0.6666666666666666,1.0,1,0.8622242444857597,0.9999999999993916
MNIST M=200 (baseline),mnist,200,784,0.2,137,0.7333333333333333,1.0,1,0.9141650802447557,0.999999999999713
MNIST M=200 (baseline),mnist,200,784,0.2,14,0.7533333333333333,1.0,1,0.9366989835751994,0.9999999999997486
MNIST M=200 (baseline),mnist,200,784,0.2,94,0.76,1.0,1,0.93370452889168,0.9999999999995589
MNIST M=200 (baseline),mnist,200,784,0.2,152,0.7333333333333333,1.0,1,0.9446860866286806,0.9999999999998265
MNIST M=200 (baseline),mnist,200,784,0.3,91,0.4,1.0,1,0.6931197019230189,0.9999999999996921
MNIST M=200 (baseline),mnist,200,784,0.3,89,0.5533333333333333,1.0,1,0.7707622206623636,0.9999999999995456
