M,sigma,vectorhash_oneshot_exact,vectorhash_oneshot_ci_lo,vectorhash_oneshot_ci_hi,vectorhash_exact,vectorhash_ci_lo,vectorhash_ci_hi
100,0.3,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
200,0.3,0.975,0.9428208558483829,0.9892754385292123,1.0,0.9811539940816791,1.0
400,0.3,0.54,0.4708216309361468,0.6076706885903875,0.98,0.9497121344948062,0.9921956998236058
800,0.3,0.075,0.045974507057252416,0.12004459797332034,0.81,0.7499864142552062,0.8583290620754351
