classifier,accuracy,n_errors,top1_class,top1_share,top2_classes,top2_share,symmetry_r
ours (single W_IH),0.7877777777777778,191,9,0.16753926701570682,"(9, 1)",0.32460732984293195,0.33781408822858455
k-NN (k=5),0.91,81,1,0.20987654320987653,"(1, 9)",0.4074074074074074,-0.01870916352057327
logistic regression,0.8788888888888889,109,9,0.1651376146788991,"(9, 5)",0.3211009174311927,0.4165876947158552
