grid,same_digit_mean,same_digit_n,conflicting_mean,conflicting_n,noncon_diff_mean,noncon_diff_n
0,0.21279835390946977,324,12.940641975308644,810,12.870237416904084,2106
1,0.1938271604938312,324,12.72518518518518,810,12.82450142450142,2106
2,0.20255144032921846,324,12.712049382716055,810,12.916619183285855,2106
3,0.232098765432101,324,12.968395061728403,810,13.050446343779685,2106
4,0.19674897119341636,324,13.078765432098765,810,13.013637226970559,2106
5,0.21703703703703306,324,13.116444444444447,810,13.173675213675214,2106
6,0.15728395061729142,324,13.238353909465028,810,13.113909465020583,2106
7,0.2251440329218116,324,13.008510288065848,810,13.048407723963285,2106
