H,K,M,sigma,exact,ci_lo,ci_hi
1000,150,800,0.3,0.575,0.5057080512046821,0.6414650479075696
1500,225,800,0.3,0.705,0.6384115802925058,0.7638615572809827
2000,300,800,0.3,0.745,0.6803694869280502,0.8003959701719726
3000,450,800,0.3,0.78,0.7176107720803744,0.8318354646053661
