M,sigma,vectorhash_oneshot_exact,vectorhash_oneshot_ci_lo,vectorhash_oneshot_ci_hi,vectorhash_exact,vectorhash_ci_lo,vectorhash_ci_hi
50,0.0,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.1,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.2,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.3,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.4,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.5,1.0,0.9811539940816791,1.0,1.0,0.9811539940816791,1.0
50,0.6,0.995,0.9722256001302286,0.999116854010634,0.995,0.9722256001302286,0.999116854010634
50,0.8,0.945,0.9042120755340645,0.9690149791986299,0.945,0.9042120755340645,0.9690149791986299
50,1.0,0.805,0.744558352034882,0.8539455843549424,0.805,0.744558352034882,0.8539455843549424
