ridge_lambda,zero_noise_overlap,sigma_0.1_cleaned_overlap,sigma_0.1_exact
0.0001,1.0,0.2612222222222222,0.06666666666666667
0.001,1.0,0.3172222222222222,0.13333333333333333
0.01,0.99968,0.9098888888888889,0.8833333333333333
0.1,0.9936666666666666,1.0,1.0
1.0,0.9583200000000001,0.9881111111111112,0.9833333333333333
10.0,0.8033466666666667,0.9875555555555555,0.9833333333333333
100.0,0.5483733333333333,0.9476666666666667,0.9333333333333333
