M,img_dim,image_gram_rank,image_gram_smallest_eig,image_gram_cond,zero_noise_overlap,sigma_0.1_exact
500,1024,500,0.025464304350619613,5029317.734012755,0.9776933333333334,0.96
800,1024,800,0.0045561430127937785,46149779.608905576,0.9319,1.0
1200,1024,1016,0.003124488926583456,96253958.06711309,0.8568222222222223,0.82
1600,1024,1024,0.01113296070068634,35841413.81525215,0.7851041666666666,0.9
2000,1024,1024,0.023645009926767914,21300265.356641494,0.7260833333333334,0.66
