noise_percent,digit_cell_acc_no_feedback,digit_cell_acc_with_feedback,cleaned_engram_overlap,cleaned_engram_top1_acc
0.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0,1.0
30.0,1.0,1.0,1.0,1.0
35.0,1.0,1.0,1.0,1.0
38.0,0.9548148148148148,0.9875308641975309,0.9493333333333334,0.99
40.0,0.8893827160493828,0.9576543209876544,0.8722666666666666,0.98
42.0,0.4902469135802469,0.6311111111111112,0.5342666666666667,0.63
45.0,0.14901234567901234,0.19740740740740745,0.25426666666666675,0.15
48.0,0.10876543209876545,0.11246913580246913,0.22146666666666665,0.0
50.0,0.10876543209876542,0.11518518518518517,0.22,0.01
55.00000000000001,0.11172839506172838,0.11037037037037034,0.21886666666666663,0.0
60.0,0.10851851851851851,0.10395061728395064,0.22726666666666667,0.0
70.0,0.11160493827160492,0.10765432098765433,0.21973333333333328,0.0
80.0,0.11407407407407406,0.11345679012345677,0.22039999999999996,0.01
100.0,0.10753086419753086,0.11481481481481483,0.22413333333333335,0.0
