condition,M,sigma,ae_final_train_loss,bounded_exact,bounded_ci_lo,bounded_ci_hi,sparse_input_exact,sparse_input_ci_lo,sparse_input_ci_hi,diluted_exact,diluted_ci_lo,diluted_ci_hi,tail_biting_ae_exact,tail_biting_ae_ci_lo,tail_biting_ae_ci_hi
random,100,0.3,0.018058286979794502,0.22,0.16816453539463405,0.2823892279196257,1.0,0.9811539940816791,1.0,0.0,0.0,0.018846005918320894,0.98,0.9497121344948062,0.9921956998236058
random,200,0.3,0.02825775556266308,0.08,0.04984015517626642,0.12599048979512317,0.905,0.8563973488560237,0.9383373863501365,0.0,0.0,0.018846005918320894,0.9,0.8505931364369146,0.9343300588284289
random,400,0.3,0.06064547598361969,0.05,0.027382349028644986,0.08957905629784384,0.015,0.005114145184492387,0.043166480556278884,0.0,0.0,0.018846005918320894,0.345,0.2825968690139029,0.41324539282077655
random,800,0.3,0.11550936102867126,0.02,0.007804300176394188,0.050287865505193874,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.275,0.21779604313809775,0.3406846595251467
real_mnist,100,0.3,0.009795814752578735,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.17,0.12427835351105657,0.22816001039503528
real_mnist,200,0.3,0.010081984102725983,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.075,0.045974507057252416,0.12004459797332034
real_mnist,400,0.3,0.01289891917258501,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.04,0.02040538715065641,0.07693293829419882
real_mnist,800,0.3,0.008477697148919106,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.0,0.0,0.018846005918320894,0.035,0.017055324637357105,0.07047146086668134
